instance_idx,instance,epsilon,runtime
0,"[0.21863797 0.50535529 0.02653597 0.19883765 0.64988444 0.54494148
 0.22044062 0.58926568 0.80943046 0.00649876]",0.081,58.5035355091095
1,"[0.69813939 0.34025052 0.1554795  0.95721307 0.33659455 0.09274584
 0.09671638 0.84749437 0.60372603 0.80712827]",0.14500000000000002,69.4012975692749
2,"[0.53622809 0.97311576 0.37853438 0.55204063 0.82940466 0.61851975
 0.8617069  0.57735215 0.70457184 0.04582438]",0.187,60.55658221244812
3,"[0.28938796 0.07979198 0.23279089 0.10100143 0.2779736  0.63568444
 0.36483218 0.37018097 0.20950703 0.26697782]",0.165,68.78774809837341
4,"[0.64803539 0.60913101 0.17113865 0.7291268  0.16340249 0.37945544
 0.98952335 0.63999976 0.55694974 0.68461425]",0.043000000000000003,67.08602666854858
5,"[0.77599991 0.22904807 0.03210024 0.31545305 0.26774088 0.21098284
 0.94290971 0.87636763 0.31467788 0.65543867]",0.009000000000000001,64.6730887889862
6,"[0.91454759 0.45885185 0.26488017 0.24662751 0.56136813 0.26274161
 0.58458599 0.89782288 0.39940051 0.21932076]",0.021,65.99191284179688
7,"[0.50952629 0.09090941 0.04711638 0.10964913 0.62744604 0.79207936
 0.42215997 0.06352771 0.38161929 0.99612138]",0.009000000000000001,64.47919726371765
8,"[0.97107838 0.8607797  0.01148102 0.72072182 0.68171037 0.53697033
 0.26682519 0.6409618  0.11155217 0.43476525]",0.005,63.83550143241882
9,"[0.95381593 0.87585294 0.26338905 0.50058611 0.17865188 0.91262784
 0.87051857 0.29844479 0.63894949 0.60897021]",0.167,69.41205143928528
10,"[7.62510800e-01 5.39379030e-01 7.78626479e-01 5.30353672e-01
 5.71896128e-04 3.24156057e-01 1.94767424e-02 9.29098616e-01
 8.78721878e-01 8.31665529e-01]",0.121,68.37410545349121
11,"[0.05792517 0.8780096  0.94694945 0.08565345 0.48599046 0.06921252
 0.76060217 0.76583443 0.12839146 0.47528238]",0.135,69.26598834991455
12,"[0.26505663 0.87243304 0.42313794 0.21179821 0.53929609 0.72993107
 0.20115106 0.31171629 0.99514936 0.64987806]",0.021,65.931955575943
13,"[0.51757584 0.1210042  0.22469734 0.33808556 0.58830872 0.23011473
 0.22021738 0.07099309 0.63110296 0.22894178]",0.10300000000000001,65.99811363220215
14,"[0.8596354  0.07085735 0.23800463 0.66897778 0.21423681 0.13231185
 0.93551424 0.57104309 0.47267103 0.78461942]",0.023,66.69589185714722
15,"[0.19040991 0.09693081 0.43105118 0.42357862 0.46702467 0.72907585
 0.67336455 0.98416521 0.09841787 0.40262128]",0.043000000000000003,66.1627459526062
16,"[0.86167254 0.24865633 0.19020891 0.44861355 0.42188164 0.27854514
 0.24980645 0.9232656  0.44313075 0.8613491 ]",0.07300000000000001,68.65422511100769
17,"[0.05058833 0.99928247 0.83602759 0.96899626 0.92636698 0.84869573
 0.16631111 0.48564113 0.2137473  0.40104029]",0.001,62.29444670677185
18,"[0.37897312 0.98530884 0.26520306 0.7840706  0.45500837 0.42300749
 0.95731764 0.99542269 0.55576832 0.71840828]",0.067,67.3681252002716
19,"[0.29670783 0.96870936 0.57918029 0.5421952  0.74797556 0.05716527
 0.58417759 0.50285038 0.85271989 0.15743273]",0.005,63.972583293914795
20,"[0.08011147 0.18582496 0.59503511 0.67521255 0.2352039  0.11988661
 0.89028731 0.24621535 0.59451915 0.61938151]",0.083,67.80875849723816
21,"[0.58367229 0.52278272 0.93470626 0.2042592  0.7161918  0.23868595
 0.39578585 0.67169022 0.29999708 0.3161772 ]",0.025,56.33725929260254
22,"[0.07254311 0.45828552 0.99845444 0.99609645 0.07326072 0.21315431
 0.26520041 0.93325938 0.88086417 0.87927024]",0.185,70.11797285079956
23,"[0.15774683 0.83374495 0.70353993 0.61167777 0.98723306 0.65397632
 0.00782311 0.81710414 0.29937875 0.66338871]",0.061,67.67053174972534
24,"[0.13429111 0.11542867 0.10703598 0.55322364 0.27234821 0.60482983
 0.71761219 0.20359731 0.63423796 0.2639839 ]",0.055,66.83852052688599
25,"[0.90533649 0.84610371 0.09229847 0.42357577 0.27668022 0.00354569
 0.77111922 0.63711338 0.26195526 0.74123091]",0.053000000000000005,65.97522950172424
26,"[0.42768692 0.0096697  0.07524386 0.88310639 0.90392857 0.54559029
 0.83459502 0.58250957 0.14809379 0.12744552]",0.089,67.8948962688446
27,"[0.89898149 0.7961223  0.86070258 0.89892464 0.21007654 0.24952974
 0.10279362 0.78011624 0.8841347  0.40637739]",0.029,66.44882082939148
28,"[0.15455334 0.92988102 0.8646057  0.97620603 0.81077172 0.8814162
 0.02478636 0.73656447 0.33218547 0.93081589]",0,59.985464572906494
29,"[0.86406403 0.81074932 0.26680571 0.78737451 0.10809563 0.87216678
 0.85859325 0.22243372 0.81658661 0.46030323]",0.17500000000000002,59.14676523208618
30,"[0.7953455  0.22759549 0.02366443 0.19312979 0.32826195 0.86435294
 0.9668891  0.27912499 0.64148174 0.39967838]",0.155,68.1557559967041
31,"[0.53621573 0.93923714 0.11534175 0.97040061 0.17856782 0.96253432
 0.26546636 0.10840255 0.43456376 0.72854506]",0.041,67.86511588096619
32,"[0.60620885 0.51142306 0.38519543 0.57658804 0.25472251 0.70878528
 0.00169128 0.92557517 0.538452   0.71943   ]",0.101,56.84364581108093
33,"[0.6706285  0.36422147 0.06997381 0.66423768 0.33020004 0.31391565
 0.84801528 0.71975426 0.30032227 0.30928466]",0,60.205167293548584
34,"[0.40240039 0.2956552  0.1272878  0.42044633 0.94036367 0.67731795
 0.90280555 0.61551492 0.30094987 0.54793721]",0,60.27485704421997
35,"[0.28691372 0.42988815 0.57998478 0.65470562 0.46498819 0.4421598
 0.2137014  0.47318619 0.90118083 0.79602476]",0.057,57.817070960998535
36,"[0.08479554 0.51545201 0.63294086 0.33518826 0.81842346 0.75113814
 0.67279567 0.22464067 0.19912993 0.02442539]",0.025,55.561166286468506
37,"[0.47513634 0.84973769 0.07282823 0.41444101 0.62976538 0.19443524
 0.69635425 0.49437717 0.24398444 0.65605801]",0,60.354450702667236
38,"[0.75096448 0.77004619 0.1065873  0.42514619 0.17588668 0.95796604
 0.51795775 0.05021839 0.24919828 0.84833635]",0,60.427799463272095
39,"[0.8014166  0.66757773 0.98789245 0.59545232 0.95003961 0.89142593
 0.61265232 0.71927396 0.50477816 0.83056917]",0.263,59.20143103599548
40,"[0.8972081  0.74365544 0.47467444 0.25919155 0.24723974 0.63766144
 0.76581368 0.52129981 0.62674844 0.27459745]",0,60.130444049835205
41,"[0.28572815 0.27171511 0.31970957 0.54015222 0.13837406 0.23126148
 0.69394981 0.70641914 0.06422885 0.40759937]",0.17500000000000002,59.27171611785889
42,"[0.41577423 0.20683439 0.42014352 0.90483848 0.58407941 0.69552299
 0.85673203 0.76559458 0.38038103 0.00589608]",0.10500000000000001,66.75948095321655
43,"[0.75347513 0.85344795 0.95343034 0.41902128 0.74751567 0.54613231
 0.60325259 0.22053869 0.21942163 0.43583598]",0,60.06623315811157
44,"[0.33612954 0.67914189 0.40431667 0.16504473 0.46739015 0.1276278
 0.62225696 0.02696645 0.39402026 0.56439198]",0,60.24901461601257
45,"[0.64274965 0.13569949 0.46169844 0.05028463 0.37910386 0.21166028
 0.3268458  0.76122971 0.37912622 0.75200982]",0.127,67.05208969116211
46,"[0.25227153 0.08190623 0.01938329 0.53941905 0.99990783 0.34996034
 0.65014409 0.78123305 0.65175466 0.7542332 ]",0.051000000000000004,56.22227501869202
