instance_idx,instance,epsilon,runtime
2000,[0.18931627 0.36020063 0.26557572],0.121,69.24621653556824
2001,[0.13638014 0.00757703 0.95525567],0.309,68.71388053894043
2002,[0.44427536 0.66137214 0.56545716],0.155,69.18564558029175
2003,[0.70174243 0.89085911 0.32882379],0.389,71.23365998268127
2004,[0.65708523 0.01483171 0.29650273],0.059000000000000004,67.56759738922119
2005,[0.02602115 0.44355376 0.8570036 ],0.147,70.3161678314209
2006,[0.89327662 0.6709784  0.84597503],0.387,62.788729190826416
2007,[0.47281083 0.08229032 0.46482208],0.113,58.42849850654602
2008,[0.71829168 0.2252186  0.12759536],0.067,68.86409306526184
2009,[0.98480848 0.4464306  0.64826393],0.317,70.60938143730164
2010,[0.99239253 0.69828538 0.41396228],0.399,73.3989245891571
2011,[0.54024197 0.49644585 0.45093849],0.11900000000000001,59.73763132095337
2012,[0.56769143 0.30913922 0.11445442],0.035,68.72005653381348
2013,[0.96302848 0.90390682 0.68763947],0.399,73.82970929145813
2014,[0.44120947 0.89046342 0.46520261],0.263,60.47538423538208
2015,[0.6428871  0.92543599 0.17798747],0.377,70.46039581298828
2016,[0.76571697 0.93397781 0.41101979],0.399,73.25257635116577
2017,[0.56106444 0.3309926  0.93115596],0.059000000000000004,67.58027076721191
2018,[0.33548757 0.24330424 0.3918675 ],0.10300000000000001,66.03797030448914
2019,[0.09672254 0.15934856 0.09657783],0.269,60.64360022544861
2020,[0.71151542 0.33211311 0.03702676],0.115,68.63576316833496
2021,[0.69093985 0.29899067 0.8105682 ],0.10500000000000001,67.80758857727051
2022,[0.9179813  0.58536873 0.93214849],0.359,70.46337580680847
2023,[0.92319418 0.39278718 0.71269688],0.263,61.011584997177124
2024,[0.01976758 0.63277014 0.96861932],0.057,58.11776518821716
2025,[0.56957488 0.29703322 0.5395927 ],0.039,67.09958171844482
2026,[0.38189597 0.29540422 0.44885991],0.055,67.22404837608337
2027,[0.22532195 0.47397544 0.23823457],0.049,70.08601403236389
2028,[0.01790964 0.02220054 0.42353232],0.367,71.77821636199951
2029,[0.29844779 0.03919309 0.81657086],0.213,58.36835551261902
2030,[0.09798694 0.30822109 0.82237911],0.179,70.91397070884705
2031,[0.7351683  0.42853401 0.76685987],0.189,70.5954532623291
2032,[0.25936601 0.4219022  0.81154297],0.045,68.56695103645325
2033,[0.31155691 0.80395363 0.43676262],0.157,60.273356199264526
2034,[0.70360675 0.17927358 0.45452031],0.045,69.05457782745361
2035,[0.13400396 0.56351631 0.12889799],0.053000000000000005,65.40478110313416
2036,[0.94266598 0.92275649 0.27676913],0.399,74.13748979568481
2037,[0.31674504 0.00426255 0.99555663],0.221,68.81748652458191
2038,[0.57678266 0.31799451 0.99603127],0.063,58.86721968650818
2039,[0.26640069 0.65171252 0.42728225],0.061,69.10746026039124
2040,[0.12003681 0.25700535 0.70528717],0.195,72.06454539299011
2041,[0.23163902 0.31385891 0.17965235],0.125,58.46688175201416
2042,[0.0372715  0.05238733 0.19517222],0.34700000000000003,71.88689637184143
2043,[0.09461723 0.6872049  0.8846229 ],0,61.807682514190674
2044,[0.49514781 0.30658917 0.50430624],0.005,64.8336353302002
2045,[0.71593454 0.63177989 0.15955433],0.267,70.67106795310974
2046,[0.77295796 0.89900295 0.50235643],0.399,73.42093062400818
2047,[0.69442053 0.58170347 0.16579064],0.231,60.38657569885254
2048,[0.38462133 0.96416962 0.05332646],0.267,71.11921525001526
2049,[0.76439373 0.61877621 0.56866557],0.291,71.58308959007263
2050,[0.49281164 0.15004925 0.60963074],0.067,68.84169960021973
2051,[0.94424761 0.50789632 0.84893395],0.331,62.19846224784851
2052,[0.68456077 0.17235249 0.82117061],0.041,68.31550693511963
2053,[0.16921371 0.94280917 0.15998236],0.149,71.54072642326355
2054,[0.41143471 0.82652673 0.36044886],0.215,68.00501084327698
2055,[0.61642166 0.66318405 0.29008579],0.23500000000000001,70.87506794929504
2056,[0.40506029 0.5851595  0.50053351],0.097,70.40572690963745
2057,[0.93794661 0.7240078  0.0854724 ],0.399,74.09575724601746
2058,[0.68503086 0.5923599  0.52633159],0.23900000000000002,69.88378977775574
2059,[0.32463318 0.77738598 0.90905844],0.161,71.03191781044006
2060,[0.32423078 0.483761   0.71637239],0.013000000000000001,56.79060506820679
2061,[0.76100933 0.28263238 0.57444232],0.127,68.20062351226807
2062,[0.87530812 0.071289   0.8273238 ],0.099,70.78898024559021
2063,[0.70157143 0.82731885 0.88860322],0.369,62.9815411567688
2064,[0.74399565 0.66611229 0.094423  ],0.299,72.69904446601868
2065,[0.57127093 0.03399314 0.43655561],0.089,68.53111815452576
2066,[0.08434283 0.60833213 0.03231546],0.057,58.17574906349182
2067,[0.73661022 0.66652188 0.08388894],0.295,71.98656606674194
2068,[0.1309651  0.77351314 0.7447781 ],0.061,69.14237117767334
2069,[0.90830136 0.35129764 0.20673794],0.223,69.86972308158875
