instance_idx,instance,epsilon,runtime
2000,[0.41955065 0.91218118 0.3561136 ],0.261,69.17664527893066
2001,[0.28987858 0.5296209  0.93671528],0.011,68.55433464050293
2002,[0.51391351 0.76649311 0.18329671],0.23500000000000001,69.02141070365906
2003,[0.09450956 0.75267672 0.54392862],0.021,64.99184083938599
2004,[0.87252957 0.8268834  0.68524891],0.399,71.96178674697876
2005,[0.30109593 0.68547999 0.68862997],0.091,67.92643475532532
2006,[0.09583447 0.58006418 0.8236607 ],0.059000000000000004,64.6709337234497
2007,[0.0128896  0.51817728 0.37315136],0.135,67.56830930709839
2008,[0.48494285 0.34028801 0.91117441],0.013000000000000001,53.287986278533936
2009,[0.10241964 0.15449681 0.22118026],0.271,67.68563628196716
2010,[0.18842802 0.89713062 0.61367696],0.14100000000000001,67.65289855003357
2011,[0.83149811 0.52566069 0.53230656],0.275,58.86577272415161
2012,[0.55116394 0.75635561 0.11398383],0.247,68.51612067222595
2013,[0.4605325  0.07632833 0.81918856],0.129,66.75704908370972
2014,[0.92350179 0.47951789 0.31168215],0.295,69.718177318573
2015,[0.36259895 0.81709837 0.89010305],0.189,69.04087448120117
2016,[0.59770486 0.76363971 0.34216794],0.275,58.46678924560547
2017,[0.70996345 0.02867907 0.81491594],0.029,64.17955231666565
2018,[0.22237281 0.85688194 0.14238959],0.133,66.47113108634949
2019,[0.22658986 0.12528088 0.13024288],0.225,56.34276723861694
2020,[0.07860412 0.69085536 0.7843574 ],0.013000000000000001,53.700562953948975
2021,[0.07773436 0.77474444 0.75764934],0.025,54.758326053619385
2022,[0.04251213 0.10775097 0.79338704],0.321,68.3367760181427
2023,[0.51352616 0.05919019 0.11894161],0.117,67.17849445343018
2024,[0.25303081 0.06617356 0.66786013],0.23700000000000002,58.41465997695923
2025,[0.75462375 0.78242431 0.92048882],0.367,69.73632097244263
2026,[0.20541429 0.90124949 0.18483174],0.147,68.08081388473511
2027,[0.35156283 0.09070987 0.84621786],0.17500000000000002,57.759949922561646
2028,[0.94193904 0.94887469 0.34796204],0.399,71.32840633392334
2029,[0.16056551 0.50063783 0.72885605],0.067,66.38649201393127
2030,[0.24183963 0.57025115 0.09911589],0.001,60.680450439453125
2031,[0.57818776 0.01390122 0.21706293],0.10500000000000001,65.13922476768494
