instance_idx,instance,epsilon,runtime
0,"[0.27518757 0.83896677 0.167088   0.88925197 0.88353348 0.54809384
 0.51636742 0.06565635 0.17328442 0.7724591 ]",0,0
1,"[0.72418535 0.98927761 0.87197327 0.66566778 0.44558535 0.42371074
 0.15333668 0.04088384 0.96782599 0.3967529 ]",0,0
2,"[0.91416721 0.68987645 0.78400654 0.52610331 0.6487063  0.79585081
 0.66464043 0.04898887 0.46530982 0.58608772]",0,0
3,"[0.41845756 0.47896524 0.78046549 0.75671086 0.36091338 0.39659941
 0.61168216 0.49454237 0.66833517 0.85468092]",0,0
4,"[0.81327403 0.69851158 0.60511443 0.33838841 0.0892296  0.24970528
 0.26242515 0.7682313  0.5764205  0.85412338]",0,0
5,"[0.72455186 0.42737594 0.83179236 0.44662446 0.2284788  0.94395957
 0.74474841 0.79784366 0.7051733  0.95105195]",0,0
6,"[0.04139124 0.74363306 0.49873772 0.70987659 0.09714135 0.17605355
 0.88109238 0.622303   0.15414712 0.11978781]",0,0
7,"[0.97973649 0.12155486 0.39038248 0.62330487 0.81220639 0.87704299
 0.02013073 0.25264412 0.13823586 0.07723565]",0,0
8,"[0.68010961 0.77745395 0.53846173 0.69090866 0.65116837 0.22989366
 0.22420937 0.96009713 0.25670468 0.90697525]",0,0
9,"[0.22964651 0.996905   0.62709604 0.87910669 0.66974597 0.85526272
 0.1337505  0.36243754 0.24489003 0.38118515]",0,0
10,"[0.94965902 0.64304411 0.64541927 0.91008462 0.58004223 0.57012621
 0.59885645 0.52677869 0.16258332 0.09532261]",0.001,55.031617641448975
11,"[0.0516687  0.50036138 0.91654984 0.01296352 0.96970987 0.35048516
 0.5149587  0.62691204 0.5905802  0.31950255]",0,0
12,"[0.01666536 0.9739187  0.23912971 0.34280498 0.58796219 0.5159748
 0.34676077 0.72096412 0.57726884 0.10765529]",0,0
13,"[0.7042446  0.023414   0.0593278  0.8797811  0.24492693 0.99164906
 0.99993287 0.85911363 0.70550194 0.03788021]",0,0
14,"[0.93052822 0.05821029 0.38325748 0.27442689 0.16879508 0.94867119
 0.6846109  0.57277069 0.76324602 0.56297808]",0,0
15,"[0.70380051 0.81365914 0.28649573 0.60401879 0.7507008  0.43080229
 0.95771094 0.32779347 0.51918021 0.41982441]",0,0
16,"[0.6932027  0.588377   0.71635047 0.31519302 0.07958969 0.43311819
 0.96966022 0.0682765  0.58417175 0.1358389 ]",0,0
17,"[0.254875   0.5838462  0.56615905 0.48610717 0.71509144 0.78996221
 0.78469034 0.5843463  0.93563914 0.97205544]",0,0
18,"[0.688483   0.78487662 0.98537222 0.93970159 0.39407034 0.08292143
 0.63517336 0.53442596 0.65987405 0.19198178]",0,0
19,"[0.08933527 0.44489636 0.6527387  0.80465207 0.17597546 0.95813564
 0.21496741 0.97399784 0.22204168 0.6539371 ]",0,0
20,"[0.91584563 0.76130118 0.78867802 0.08745885 0.9093304  0.44291554
 0.20129449 0.82652097 0.46747012 0.80904522]",0,0
21,"[0.6484043  0.11814542 0.1656321  0.62173149 0.84937592 0.17447043
 0.15354723 0.77946753 0.39442671 0.37817224]",0,0
22,"[0.40675684 0.43715051 0.91006414 0.69235781 0.57804293 0.25481438
 0.80569484 0.12852923 0.41884844 0.19167681]",0,0
23,"[0.79309409 0.03196472 0.40320621 0.04184333 0.0438735  0.34075757
 0.33734162 0.89388135 0.37904532 0.90482176]",0,0
24,"[0.8625626  0.90413802 0.99298977 0.22638978 0.32891616 0.55820171
 0.52582677 0.3366327  0.13594031 0.39443232]",0,0
25,"[0.92452677 0.06739479 0.29083182 0.17066707 0.29525411 0.92064949
 0.32708953 0.34421382 0.24230961 0.45156006]",0,0
26,"[0.91949066 0.34327    0.09160317 0.04180013 0.41068418 0.27375369
 0.75629457 0.23106941 0.42552852 0.34446139]",0,0
27,"[0.91461694 0.55476869 0.98869915 0.3287719  0.73811897 0.58421739
 0.90497785 0.59174023 0.84096795 0.91704781]",0,0
