instance_idx,instance,epsilon,runtime
3000,"[0.4376829  0.66031754 0.63692972 0.84759982 0.38157659 0.50373396
 0.70253424 0.43666296 0.87498633 0.90654534]",0.069,92.55335736274719
3001,"[0.70787289 0.79999073 0.83244912 0.73905334 0.2549667  0.3746563
 0.50159313 0.42908254 0.52352302 0.29046997]",0,53.95146942138672
3002,"[0.49947236 0.06706859 0.17033992 0.50590451 0.88237868 0.62776732
 0.25069255 0.72579299 0.60436204 0.50056988]",0.035,61.47513294219971
3003,"[0.2072399  0.25823895 0.57195344 0.08215775 0.16103322 0.20495435
 0.21880276 0.86951892 0.83449795 0.52415287]",0.199,66.56380796432495
3004,"[0.91830609 0.12267297 0.56318692 0.02381041 0.46102597 0.82220083
 0.2116218  0.96983931 0.66181713 0.00672095]",0.059000000000000004,59.856201171875
3005,"[0.94807528 0.25856749 0.7805662  0.4199095  0.92366116 0.48297758
 0.36337856 0.8276283  0.26591857 0.73408819]",0.10500000000000001,60.03525710105896
3006,"[0.69573    0.39058778 0.29670089 0.41768976 0.5890965  0.23067325
 0.08451897 0.09873057 0.6856222  0.73858796]",0.099,892.6704747676849
3007,"[0.65290795 0.49155017 0.78691038 0.66736196 0.45011954 0.8145888
 0.93221338 0.81642158 0.71957668 0.38486688]",0.199,64.58223462104797
3008,"[0.48065793 0.3940489  0.56213878 0.12572227 0.50013394 0.73739194
 0.34202293 0.64076065 0.58611552 0.31085111]",0.001,55.76786923408508
3009,"[0.92657355 0.07060964 0.36375678 0.28751813 0.62320507 0.51940751
 0.52921974 0.59328464 0.50127925 0.99606812]",0.083,61.8324933052063
3010,"[0.29908626 0.27587395 0.16661128 0.43112471 0.68693904 0.55401055
 0.69234165 0.41415408 0.60732424 0.5949118 ]",0.041,60.89316987991333
3011,"[0.78363634 0.23215954 0.52618653 0.78512208 0.27562927 0.06170347
 0.80040636 0.13969263 0.41488558 0.96009265]",0.003,56.29924464225769
3012,"[0.03742301 0.1622271  0.86672065 0.25694313 0.05560971 0.08896202
 0.69629768 0.99982461 0.82076114 0.23906538]",0.135,510.077036857605
3013,"[0.89683776 0.10849422 0.11203831 0.86885543 0.26284512 0.02145224
 0.35364174 0.50176748 0.32338327 0.5230702 ]",0.11900000000000001,499.2514865398407
3014,"[0.13342973 0.28954967 0.15347971 0.39269538 0.34360281 0.27648011
 0.41206815 0.45745908 0.25295159 0.45482275]",0.197,100.95987319946289
3015,"[0.21112093 0.07285796 0.45306675 0.57187015 0.5462071  0.65016692
 0.45627659 0.92542827 0.65673082 0.32817851]",0.003,55.79526114463806
3016,"[0.95524037 0.91386737 0.43202618 0.87676798 0.65705009 0.20333372
 0.84097166 0.71204819 0.57516776 0.71059084]",0.147,62.015385389328
3017,"[0.4373631  0.25033603 0.46397527 0.53388464 0.14086646 0.94455077
 0.38707451 0.04591025 0.12266689 0.61472786]",0.075,52.73624300956726
3018,"[0.11084062 0.82222961 0.73496825 0.12890908 0.86071156 0.93427152
 0.30651885 0.47052694 0.70368122 0.16812066]",0.047,61.06475901603699
3019,"[0.80170763 0.68400393 0.53668025 0.13738817 0.5252107  0.36188758
 0.11692262 0.96610159 0.4575743  0.43410711]",0.079,62.11775803565979
3020,"[0.83845726 0.88644541 0.04861163 0.81265294 0.0039246  0.65497894
 0.93054799 0.84919652 0.81319021 0.60671753]",0.137,52.32772517204285
3021,"[0.78662632 0.62015074 0.85606163 0.74120595 0.86387455 0.83668439
 0.18787271 0.9551075  0.45419657 0.10085925]",0.131,52.47102665901184
3022,"[0.77584556 0.80165141 0.63694173 0.57213119 0.63391157 0.8990369
 0.73100968 0.38269081 0.82625982 0.81550936]",0.199,64.28320002555847
3023,"[0.41707243 0.18287221 0.0356513  0.39068607 0.42502291 0.21706625
 0.79199057 0.60162559 0.98541112 0.3528071 ]",0.015,57.88446378707886
3024,"[0.28794886 0.7317932  0.38326085 0.32303263 0.67359662 0.09134367
 0.27651525 0.23501757 0.643205   0.31387878]",0.129,538.5305128097534
3025,"[0.59530021 0.52705286 0.28381795 0.67256255 0.89396843 0.0612883
 0.88414547 0.52921958 0.18962645 0.94806613]",0.063,51.26629853248596
3026,"[0.28001984 0.01448266 0.95476284 0.60024892 0.73750126 0.2467519
 0.18409636 0.054108   0.58425741 0.94026008]",0.079,62.2996244430542
3027,"[0.79121728 0.02444349 0.26499821 0.00390949 0.92787273 0.20221168
 0.02404851 0.6197357  0.46805729 0.0961926 ]",0.065,60.9827721118927
3028,"[0.23560963 0.32854541 0.68945965 0.93870268 0.12921865 0.86984715
 0.47471512 0.64306935 0.48951883 0.35459899]",0.019000000000000003,50.32944464683533
3029,"[0.39783693 0.43757106 0.44381312 0.47581527 0.2252419  0.32049065
 0.55741627 0.10673931 0.46815272 0.09732412]",0.093,86.217036485672
3030,"[0.40628662 0.10575278 0.89131527 0.24706314 0.2171558  0.77189987
 0.74497535 0.12753687 0.26625597 0.46267133]",0.015,57.635274171829224
3031,"[0.13883591 0.06897413 0.05886913 0.64166833 0.20769409 0.25468335
 0.85400806 0.63658768 0.56939402 0.43666405]",0.081,52.69726777076721
3032,"[0.85467798 0.53959408 0.61303409 0.88531525 0.50424652 0.89163861
 0.81235615 0.47315427 0.21521839 0.88456548]",0.189,64.30190873146057
3033,"[0.83134643 0.60302116 0.60367301 0.04340117 0.44992223 0.11192214
 0.60051418 0.14803822 0.44160436 0.59945436]",0.031,51.55653262138367
3034,"[0.78751234 0.31505823 0.66795754 0.08753413 0.28782341 0.18075972
 0.78977068 0.08957225 0.9404125  0.18697309]",0.051000000000000004,49.162521839141846
3035,"[0.83323328 0.70619816 0.85637492 0.72164454 0.32520257 0.08884256
 0.00385528 0.27610613 0.25142884 0.39387404]",0.171,297.7740762233734
3036,"[0.39229598 0.2901014  0.2102653  0.16036808 0.77813724 0.8083639
 0.41840308 0.09290471 0.14735418 0.69001814]",0.011,59.0660879611969
3037,"[0.70754357 0.6315406  0.46338854 0.15024608 0.91984839 0.95764049
 0.39797346 0.50022588 0.31914012 0.46181558]",0.127,61.17019844055176
3038,"[0.62719988 0.90245919 0.92008441 0.92174071 0.31960766 0.48240377
 0.05637821 0.91600178 0.18835502 0.75060985]",0.11900000000000001,271.7656452655792
3039,"[0.01426473 0.58800158 0.89951239 0.66560149 0.2117064  0.9754696
 0.34210649 0.73088428 0.42412857 0.9573401 ]",0.081,52.518256187438965
3040,"[0.88470879 0.28368629 0.36967612 0.41318788 0.4794342  0.55273998
 0.30906619 0.46252113 0.02780997 0.28929492]",0.033,60.21817350387573
3041,"[0.63772237 0.22021932 0.71173787 0.82004539 0.35370706 0.78895249
 0.76071658 0.41310915 0.86386323 0.28504569]",0.17300000000000001,65.39216136932373
3042,"[0.06505795 0.29668631 0.41081855 0.20069602 0.12108744 0.31260866
 0.20401299 0.97286744 0.75629755 0.81762576]",0.199,67.2694902420044
3043,"[0.10822528 0.7290886  0.99239399 0.3958833  0.67461924 0.35897541
 0.8170128  0.3609307  0.57991582 0.3272089 ]",0.045,60.422577142715454
3044,"[0.04177502 0.92860991 0.92154789 0.91837743 0.22866612 0.21892791
 0.74395543 0.15344621 0.5693689  0.39516154]",0.075,51.26089668273926
3045,"[0.2562871  0.13967176 0.00870473 0.15975586 0.97076195 0.12788203
 0.0925812  0.26556523 0.35312655 0.91780907]",0.199,67.37335705757141
3046,"[0.83917906 0.19796011 0.64117403 0.2298522  0.39649884 0.04507385
 0.0700867  0.14392182 0.42964372 0.21400377]",0.157,327.51990962028503
3047,"[0.84625402 0.04623847 0.07747841 0.79007522 0.15525556 0.59033748
 0.14274353 0.01614098 0.77916322 0.36170364]",0.055,61.121779441833496
3048,"[0.31139721 0.97894022 0.19019238 0.15282903 0.60735555 0.36928067
 0.08694922 0.98924809 0.66704797 0.93528676]",0.155,329.7022387981415
3049,"[0.89776992 0.55699192 0.02557719 0.80526085 0.67687107 0.66761475
 0.80998908 0.19813654 0.05443522 0.54576999]",0.149,64.89406776428223
3050,"[0.21241766 0.99872137 0.29405799 0.49882732 0.45790732 0.62370231
 0.05029744 0.97698994 0.50577986 0.31070386]",0.149,554.0020413398743
3051,"[0.98054208 0.3772858  0.30860768 0.56200822 0.4314296  0.68428387
 0.00487379 0.96775509 0.63378258 0.21036161]",0.005,57.481045961380005
3052,"[0.15876911 0.68227649 0.355981   0.72877653 0.52937752 0.33539027
 0.18076753 0.78712968 0.42717365 0.57086409]",0.155,339.74135279655457
3053,"[0.3770036  0.56556544 0.85027696 0.21071514 0.91310347 0.14275344
 0.4479259  0.81461765 0.48784162 0.63200726]",0.013000000000000001,49.369933128356934
3054,"[0.82790881 0.41286951 0.54029723 0.7176139  0.71160446 0.47357663
 0.05485222 0.68202384 0.46752484 0.19243698]",0,53.033623933792114
3055,"[0.24096336 0.63803356 0.87523857 0.97814101 0.41618758 0.10535516
 0.35343804 0.93734109 0.29826218 0.72886768]",0.147,552.4518082141876
3056,"[0.54684627 0.98032052 0.87008892 0.39585559 0.5021535  0.54889748
 0.75775137 0.7462098  0.69539694 0.9557289 ]",0.101,50.32347869873047
3057,"[0.61607393 0.16941054 0.97186333 0.60407089 0.98497987 0.88949379
 0.75391154 0.68018085 0.79631407 0.65001053]",0.199,63.84989809989929
3058,"[0.36022659 0.52014147 0.42724409 0.70727638 0.41708792 0.08667759
 0.667221   0.27307268 0.85009436 0.9750169 ]",0.037000000000000005,51.18295693397522
3059,"[0.65577395 0.868827   0.54446333 0.54445551 0.12130512 0.57930215
 0.19061399 0.46891598 0.58561699 0.80450097]",0.10300000000000001,157.27873539924622
3060,"[0.78998567 0.20349107 0.96555616 0.60246781 0.78504925 0.63163778
 0.60992133 0.80705296 0.09105895 0.67344857]",0.14500000000000002,63.32843375205994
3061,"[0.93037989 0.02780296 0.38555575 0.09580021 0.76438218 0.18038055
 0.00590387 0.15328964 0.5799402  0.36381243]",0.067,62.01194739341736
3062,"[0.92818065 0.24236591 0.82597013 0.63715973 0.68573328 0.67888929
 0.29108878 0.00487069 0.55331319 0.07954949]",0.117,61.50933480262756
3063,"[0.18359098 0.12219321 0.59480432 0.42644716 0.18729775 0.83374385
 0.18293246 0.34768378 0.01816785 0.8481697 ]",0.177,200.88597583770752
3064,"[0.66308664 0.45649948 0.63560392 0.39885297 0.57529511 0.689258
 0.00780255 0.00570317 0.10519885 0.58183413]",0.08700000000000001,52.41857886314392
3065,"[0.7486805  0.95121748 0.37621812 0.34275366 0.95948463 0.21256536
 0.75776047 0.93901101 0.84993599 0.52959918]",0.157,52.29212045669556
3066,"[0.21871851 0.86386841 0.90967061 0.48095951 0.37271804 0.07273051
 0.2846782  0.49281304 0.43536318 0.11526892]",0.187,141.53396248817444
3067,"[0.62635612 0.89790927 0.68995034 0.45219606 0.13337434 0.14063159
 0.96736233 0.9061136  0.8437661  0.05322877]",0.041,60.24641275405884
3068,"[0.65678878 0.73277604 0.51967458 0.86104756 0.545316   0.72709023
 0.28303222 0.7133964  0.64151255 0.17872121]",0.057,50.757604360580444
3069,"[0.11325595 0.66606563 0.01261885 0.37465789 0.60030345 0.71018879
 0.17794845 0.697894   0.54638446 0.13883236]",0.113,276.39027428627014
3070,"[0.3503032  0.71139884 0.38438042 0.36094596 0.65554061 0.04293106
 0.1640258  0.22024256 0.09872817 0.46732245]",0.199,67.41733241081238
3071,"[0.2901334  0.52913216 0.90535664 0.21510513 0.89053738 0.49410744
 0.02657232 0.74929996 0.08344122 0.44593412]",0.107,51.25983142852783
3072,"[0.80320473 0.98721606 0.46828125 0.82933649 0.5370176  0.73685487
 0.95308495 0.00705932 0.31985863 0.33309276]",0.189,63.589200496673584
3073,"[0.87467287 0.75401241 0.43231024 0.23386189 0.01574046 0.17111647
 0.61479173 0.29886638 0.48332745 0.80691976]",0.091,63.28373432159424
3074,"[0.20871572 0.85713004 0.28291326 0.67370904 0.36101401 0.19738634
 0.60833437 0.28101189 0.07425989 0.66474339]",0.153,343.30231976509094
3075,"[0.32235192 0.3197289  0.52761775 0.50180059 0.16381664 0.2912134
 0.92908686 0.44658098 0.23268488 0.49657334]",0.053000000000000005,59.42647647857666
3076,"[0.45208425 0.49213748 0.73383655 0.55913253 0.72607706 0.99618868
 0.65041159 0.39270337 0.65987936 0.83077786]",0.181,53.92498755455017
3077,"[0.50993691 0.32193069 0.71788617 0.0077785  0.49755061 0.16342058
 0.16699793 0.64124088 0.98190087 0.24237464]",0.10300000000000001,59.11126470565796
3078,"[0.5484979  0.56470785 0.11780485 0.68960478 0.90777495 0.13043609
 0.36100653 0.0899909  0.15765014 0.82641704]",0.067,62.01119828224182
3079,"[0.42717765 0.19544692 0.38335169 0.03103409 0.88579495 0.59653792
 0.36387674 0.17877015 0.04145741 0.3147981 ]",0.035,60.989806175231934
3080,"[0.46906373 0.71325715 0.27316511 0.9509636  0.80197201 0.71901523
 0.46088828 0.66829337 0.27151652 0.35164372]",0.063,50.499701499938965
3081,"[0.43993324 0.4356302  0.51021512 0.40553898 0.19524262 0.6573638
 0.16352761 0.95532659 0.79316724 0.82945889]",0.095,97.56452202796936
3082,"[0.66024433 0.02523984 0.63471995 0.54302475 0.08024996 0.2464526
 0.98266307 0.5212156  0.57754925 0.91391399]",0.031,50.448636054992676
3083,"[0.75306362 0.84451597 0.82094609 0.33526821 0.40687438 0.79572831
 0.40211711 0.43897812 0.9021192  0.58447144]",0.093,61.37747550010681
3084,"[0.26797434 0.39910587 0.02898743 0.48393925 0.56824429 0.79014804
 0.44985047 0.30642363 0.07510142 0.89949667]",0.067,61.97741627693176
