instance_idx,instance,epsilon,runtime
3000,"[0.4376829  0.66031754 0.63692972 0.84759982 0.38157659 0.50373396
 0.70253424 0.43666296 0.87498633 0.90654534]",0.069,51.54504203796387
3001,"[0.70787289 0.79999073 0.83244912 0.73905334 0.2549667  0.3746563
 0.50159313 0.42908254 0.52352302 0.29046997]",0.005,56.83245038986206
3002,"[0.49947236 0.06706859 0.17033992 0.50590451 0.88237868 0.62776732
 0.25069255 0.72579299 0.60436204 0.50056988]",0.035,60.426876068115234
3003,"[0.2072399  0.25823895 0.57195344 0.08215775 0.16103322 0.20495435
 0.21880276 0.86951892 0.83449795 0.52415287]",0.199,65.70254302024841
3004,"[0.91830609 0.12267297 0.56318692 0.02381041 0.46102597 0.82220083
 0.2116218  0.96983931 0.66181713 0.00672095]",0.059000000000000004,59.15632724761963
3005,"[0.94807528 0.25856749 0.7805662  0.4199095  0.92366116 0.48297758
 0.36337856 0.8276283  0.26591857 0.73408819]",0.10500000000000001,59.69128751754761
3006,"[0.69573    0.39058778 0.29670089 0.41768976 0.5890965  0.23067325
 0.08451897 0.09873057 0.6856222  0.73858796]",0.099,875.7045340538025
3007,"[0.65290795 0.49155017 0.78691038 0.66736196 0.45011954 0.8145888
 0.93221338 0.81642158 0.71957668 0.38486688]",0.199,63.40675497055054
3008,"[0.48065793 0.3940489  0.56213878 0.12572227 0.50013394 0.73739194
 0.34202293 0.64076065 0.58611552 0.31085111]",0.001,54.76314735412598
3009,"[0.92657355 0.07060964 0.36375678 0.28751813 0.62320507 0.51940751
 0.52921974 0.59328464 0.50127925 0.99606812]",0.083,60.159889221191406
3010,"[0.29908626 0.27587395 0.16661128 0.43112471 0.68693904 0.55401055
 0.69234165 0.41415408 0.60732424 0.5949118 ]",0.041,59.74399542808533
3011,"[0.78363634 0.23215954 0.52618653 0.78512208 0.27562927 0.06170347
 0.80040636 0.13969263 0.41488558 0.96009265]",0.003,55.204833030700684
3012,"[0.03742301 0.1622271  0.86672065 0.25694313 0.05560971 0.08896202
 0.69629768 0.99982461 0.82076114 0.23906538]",0.135,501.56019711494446
3013,"[0.89683776 0.10849422 0.11203831 0.86885543 0.26284512 0.02145224
 0.35364174 0.50176748 0.32338327 0.5230702 ]",0.11900000000000001,491.70294523239136
3014,"[0.13342973 0.28954967 0.15347971 0.39269538 0.34360281 0.27648011
 0.41206815 0.45745908 0.25295159 0.45482275]",0.197,100.29728889465332
3015,"[0.21112093 0.07285796 0.45306675 0.57187015 0.5462071  0.65016692
 0.45627659 0.92542827 0.65673082 0.32817851]",0.003,55.413607597351074
3016,"[0.95524037 0.91386737 0.43202618 0.87676798 0.65705009 0.20333372
 0.84097166 0.71204819 0.57516776 0.71059084]",0.147,61.29137969017029
3017,"[0.4373631  0.25033603 0.46397527 0.53388464 0.14086646 0.94455077
 0.38707451 0.04591025 0.12266689 0.61472786]",0.075,52.133334159851074
3018,"[0.11084062 0.82222961 0.73496825 0.12890908 0.86071156 0.93427152
 0.30651885 0.47052694 0.70368122 0.16812066]",0.047,60.06399369239807
3019,"[0.80170763 0.68400393 0.53668025 0.13738817 0.5252107  0.36188758
 0.11692262 0.96610159 0.4575743  0.43410711]",0.079,60.79477119445801
3020,"[0.83845726 0.88644541 0.04861163 0.81265294 0.0039246  0.65497894
 0.93054799 0.84919652 0.81319021 0.60671753]",0.137,51.50178670883179
3021,"[0.78662632 0.62015074 0.85606163 0.74120595 0.86387455 0.83668439
 0.18787271 0.9551075  0.45419657 0.10085925]",0.131,51.81965780258179
3022,"[0.77584556 0.80165141 0.63694173 0.57213119 0.63391157 0.8990369
 0.73100968 0.38269081 0.82625982 0.81550936]",0.199,63.08480381965637
3023,"[0.41707243 0.18287221 0.0356513  0.39068607 0.42502291 0.21706625
 0.79199057 0.60162559 0.98541112 0.3528071 ]",0.015,56.881808042526245
3024,"[0.28794886 0.7317932  0.38326085 0.32303263 0.67359662 0.09134367
 0.27651525 0.23501757 0.643205   0.31387878]",0.129,530.2679615020752
3025,"[0.59530021 0.52705286 0.28381795 0.67256255 0.89396843 0.0612883
 0.88414547 0.52921958 0.18962645 0.94806613]",0.063,50.59277820587158
3026,"[0.28001984 0.01448266 0.95476284 0.60024892 0.73750126 0.2467519
 0.18409636 0.054108   0.58425741 0.94026008]",0.079,61.186498165130615
3027,"[0.79121728 0.02444349 0.26499821 0.00390949 0.92787273 0.20221168
 0.02404851 0.6197357  0.46805729 0.0961926 ]",0.065,59.778016090393066
3028,"[0.23560963 0.32854541 0.68945965 0.93870268 0.12921865 0.86984715
 0.47471512 0.64306935 0.48951883 0.35459899]",0.019000000000000003,49.43091177940369
3029,"[0.39783693 0.43757106 0.44381312 0.47581527 0.2252419  0.32049065
 0.55741627 0.10673931 0.46815272 0.09732412]",0.093,84.98564410209656
3030,"[0.40628662 0.10575278 0.89131527 0.24706314 0.2171558  0.77189987
 0.74497535 0.12753687 0.26625597 0.46267133]",0.015,56.981953382492065
3031,"[0.13883591 0.06897413 0.05886913 0.64166833 0.20769409 0.25468335
 0.85400806 0.63658768 0.56939402 0.43666405]",0.081,51.821964740753174
3032,"[0.85467798 0.53959408 0.61303409 0.88531525 0.50424652 0.89163861
 0.81235615 0.47315427 0.21521839 0.88456548]",0.189,62.36877202987671
3033,"[0.83134643 0.60302116 0.60367301 0.04340117 0.44992223 0.11192214
 0.60051418 0.14803822 0.44160436 0.59945436]",0.031,49.84110236167908
3034,"[0.78751234 0.31505823 0.66795754 0.08753413 0.28782341 0.18075972
 0.78977068 0.08957225 0.9404125  0.18697309]",0.051000000000000004,48.450825214385986
3035,"[0.83323328 0.70619816 0.85637492 0.72164454 0.32520257 0.08884256
 0.00385528 0.27610613 0.25142884 0.39387404]",0.171,292.8245007991791
3036,"[0.39229598 0.2901014  0.2102653  0.16036808 0.77813724 0.8083639
 0.41840308 0.09290471 0.14735418 0.69001814]",0.011,57.96215891838074
