instance_idx,instance,epsilon,runtime
5000,"[0.21863797 0.50535529 0.02653597 0.19883765 0.64988444 0.54494148
 0.22044062 0.58926568 0.80943046 0.00649876]",0.083,64.544837474823
5001,"[0.1554795  0.95721307 0.33659455 0.09274584 0.09671638 0.84749437
 0.60372603 0.80712827 0.72973179 0.53622809]",0.057,47.12669491767883
5002,"[0.82940466 0.61851975 0.8617069  0.57735215 0.70457184 0.04582438
 0.22789828 0.28938796 0.07979198 0.23279089]",0.07300000000000001,57.81143760681152
5003,"[0.36483218 0.37018097 0.20950703 0.26697782 0.93665459 0.64803539
 0.60913101 0.17113865 0.7291268  0.16340249]",0.095,57.16063570976257
5004,"[0.55694974 0.68461425 0.84285192 0.77599991 0.22904807 0.03210024
 0.31545305 0.26774088 0.21098284 0.94290971]",0.177,175.73310661315918
5005,"[0.3956319  0.91454759 0.45885185 0.26488017 0.24662751 0.56136813
 0.26274161 0.58458599 0.89782288 0.39940051]",0.08700000000000001,48.192171573638916
5006,"[0.09090941 0.04711638 0.10964913 0.62744604 0.79207936 0.42215997
 0.06352771 0.38161929 0.99612138 0.52911435]",0.099,63.46373200416565
5007,"[0.72072182 0.68171037 0.53697033 0.26682519 0.6409618  0.11155217
 0.43476525 0.45372371 0.95381593 0.87585294]",0.005,52.72254467010498
5008,"[0.91262784 0.87051857 0.29844479 0.63894949 0.60897021 0.15283927
 0.7625108  0.53937903 0.77862648 0.53035367]",0.107,47.00797200202942
5009,"[0.92909862 0.87872188 0.83166553 0.30751413 0.05792517 0.8780096
 0.94694945 0.08565345 0.48599046 0.06921252]",0.183,58.58139491081238
5010,"[0.47528238 0.54980359 0.26505663 0.87243304 0.42313794 0.21179821
 0.53929609 0.72993107 0.20115106 0.31171629]",0.081,48.49706220626831
5011,"[0.51757584 0.1210042  0.22469734 0.33808556 0.58830872 0.23011473
 0.22021738 0.07099309 0.63110296 0.22894178]",0.099,817.384325504303
5012,"[0.23800463 0.66897778 0.21423681 0.13231185 0.93551424 0.57104309
 0.47267103 0.78461942 0.807497   0.19040991]",0.045,54.67367219924927
5013,"[0.46702467 0.72907585 0.67336455 0.98416521 0.09841787 0.40262128
 0.33930261 0.86167254 0.24865633 0.19020891]",0.131,473.7799320220947
5014,"[0.24980645 0.9232656  0.44313075 0.8613491  0.55032531 0.05058833
 0.99928247 0.83602759 0.96899626 0.92636698]",0.063,45.161860942840576
5015,"[0.2137473  0.40104029 0.0586354  0.37897312 0.98530884 0.26520306
 0.7840706  0.45500837 0.42300749 0.95731764]",0.029,54.817240953445435
5016,"[0.15479683 0.29670783 0.96870936 0.57918029 0.5421952  0.74797556
 0.05716527 0.58417759 0.50285038 0.85271989]",0.085,56.82040190696716
