instance_idx,instance,epsilon,runtime
0,[0. 0. 0.],0.399,72.85059404373169
1,[0. 0. 0.],0,0
2,[0.89645989 0.         1.        ],0,0
3,[0.55416304 1.         1.        ],0,0
4,[0.03914756 0.74816693 1.        ],0.001,62.38249611854553
5,[0. 1. 1.],0,0
6,[0.94240828 0.98750019 0.        ],0,0
7,[0.80705992 0.98201292 0.55577653],0,0
8,[0.37317829 0.         0.18438489],0,0
9,[0.60678771 1.         0.97594678],0,0
10,[0.38137316 0.94127718 0.        ],0,0
11,[0.93367066 0.55151135 0.        ],0,0
12,[0.79000857 0.36700569 0.8369636 ],0,0
13,[0.70320922 0.         0.49500826],0,0
14,[1.         0.26623151 0.32120223],0,0
15,[1.         0.20828039 0.57132655],0,0
16,[0.         1.         0.81459906],0,0
17,[0.33133162 0.08206044 0.31588632],0,0
18,[0.42624429 0.9640868  0.09808181],0,0
19,[0.49481474 0.72994667 0.55060917],0,0
20,[0.9113652  0.55788723 0.98044175],0,0
21,[0.57698289 0.60686652 0.44485171],0,0
22,[0.56606462 0.39710197 0.57972947],0,0
23,[0.08184401 0.19479409 0.17825955],0,0
24,[0.59215654 0.67830951 0.47741137],0,0
25,[0.         0.78276398 0.89056435],0.005,63.736366987228394
26,[1.         0.87057082 0.91265765],0,0
27,[0.9996418  0.55821455 0.38942635],0,0
28,[0.73835298 0.28403563 0.82332091],0,0
29,[0.9113497  0.92497778 0.59433619],0,0
30,[1.         0.59866901 0.45060564],0,0
31,[0.66332614 1.         0.9320313 ],0,0
32,[0.81808068 0.08162892 0.61805961],0,0
33,[0.46121776 0.63209228 0.857849  ],0,0
34,[0.17816495 0.73393164 0.10641884],0,0
35,[0.15191304 0.79733512 0.32877058],0,0
36,[0.84434763 0.09995297 0.13658595],0,0
37,[0.70684689 0.04430769 0.5778869 ],0,0
38,[0.9537772  0.5356719  0.68805338],0,0
39,[0.         0.63696867 0.61140699],0,0
40,[0.5950332  0.39198141 0.36758764],0,0
41,[1.         0.03542226 0.00783985],0,0
42,[0.97957123 0.18473153 0.11339785],0,0
43,[0.19278244 0.80352899 0.95270543],0,0
44,[0.         0.42655975 0.09028034],0,0
45,[0.24760246 0.22076488 0.65330383],0,0
46,[0.34196485 0.18005465 0.50539143],0,0
47,[0.01732854 0.10026823 1.        ],0,0
48,[0.1843656  0.35916701 0.7365648 ],0,0
49,[0.8515349  0.92184242 0.15949903],0,0
50,[0.67853698 0.97014522 0.04517506],0,0
51,[0.68225536 0.84842632 0.33696679],0,0
