instance_idx,instance,epsilon,runtime
0,[0. 0. 0.],0,0
1,[1. 1. 0.],0,0
2,[1.         0.28146358 0.        ],0,0
3,[0.47417446 0.         1.        ],0,0
4,[1.         0.42022402 0.26882022],0,0
5,[0.77656863 0.22802006 0.11527445],0,0
6,[0.05356275 0.43725978 0.64043429],0,0
7,[1.         0.23820096 1.        ],0,0
8,[0.50110946 1.         0.84236208],0,0
9,[0.0180427  0.7039498  0.05016237],0,0
10,[0.         0.40741019 0.79153995],0,0
11,[0.58528743 0.16964626 0.86879807],0,0
12,[0.94827142 0.22189783 0.42016104],0,0
13,[0.66009613 1.         0.05304145],0,0
14,[0.57254183 1.         0.60385681],0,0
15,[0.74311451 0.78974503 0.48742602],0,0
16,[0.29677238 0.58925218 0.51147564],0,0
17,[0.35254623 0.87578991 0.32290215],0,0
18,[0.49904294 0.77513125 0.83756761],0,0
19,[0.92392079 0.65565425 0.19679184],0,0
20,[0.878932   0.93566711 0.72446161],0,0
21,[0.79496305 0.50583642 0.47186445],0,0
22,[0.60254472 0.1078614  0.68020328],0,0
23,[0.89351797 0.12688729 0.76913714],0,0
24,[0.7315009  0.07941861 0.        ],0,0
25,[0.61578416 0.18602252 0.2862204 ],0,0
26,[0.64273482 0.65491974 0.7709785 ],0,0
27,[0.58743401 0.31049521 0.        ],0.001,60.4527051448822
28,[0.11317548 0.15743546 0.54341925],0,0
29,[0.7460406  0.17515943 0.39988174],0,0
30,[0.97191206 0.38312838 0.74258323],0,0
31,[0.63992696 0.66459105 0.49194234],0,0
32,[0.56328627 0.70923414 0.15748619],0,0
33,[0.8281644  0.89610688 0.03664088],0,0
34,[0.20098442 0.21822614 0.08670504],0,0
35,[0.14027175 0.64471414 0.11708964],0,0
36,[0.06385842 0.97535154 0.41278651],0,0
37,[0.5585258  0.46298186 0.35094034],0,0
38,[0.4683999  0.15892814 0.60112935],0,0
39,[0.25642769 0.10584336 0.20788389],0,0
40,[0.42506852 0.95853613 0.62035412],0,0
41,[1.         0.38331952 0.2627733 ],0,0
42,[0.72301564 0.15488373 1.        ],0.007,53.39050626754761
43,[0.39471719 0.24278813 0.26254385],0,0
44,[0.30644522 0.96544222 0.99403099],0,0
45,[0.56687477 0.19995977 0.        ],0,0
46,[0.0762493  0.27165165 0.640513  ],0,0
47,[0.63655291 0.87487715 0.82089639],0,0
48,[0.35581781 0.67988916 0.43972419],0,0
49,[0.74099828 0.14814006 0.97819556],0.001,60.460225343704224
50,[0.01763093 0.61886582 0.34677413],0,0
51,[0.81538993 0.10401797 0.89158416],0,0
52,[0.         0.74657266 0.70192079],0,0
53,[0.51570723 0.13751441 0.37681211],0,0
54,[0.45361851 0.17888725 0.15303125],0,0
55,[0.85850299 0.54496174 0.26413782],0,0
56,[0.63649158 0.63550418 0.12781465],0,0
57,[0.59473529 0.58275002 0.10250154],0,0
58,[0.3044117  0.88558798 0.57602714],0,0
59,[0.22491636 0.37543453 0.45395402],0,0
60,[0.72124151 0.88292861 0.07862033],0,0
61,[0.04444033 0.42758028 0.01036753],0,0
62,[0.15456325 0.06336291 0.07970188],0,0
63,[0.63638493 0.05168378 0.5634996 ],0,0
64,[0.98504591 0.10056129 0.75808786],0,0
65,[0.59432744 0.13285898 0.9512149 ],0,0
66,[0.7503294  0.36011493 0.8890419 ],0,0
67,[0.10323472 0.85357379 0.84254975],0,0
68,[0.11537471 0.94225839 0.78343199],0,0
69,[0.93233741 0.25378226 0.73726674],0,0
70,[0.79430929 0.32630614 0.02558578],0,0
71,[0.01122805 0.49826624 0.54462693],0,0
72,[0.12457951 0.63332157 0.042871  ],0,0
73,[0.48576675 0.50262569 0.19608721],0,0
74,[0.04531285 0.92885902 0.85265792],0,0
75,[0.59834186 0.         0.52168362],0,0
76,[0.98181026 0.78546946 0.68679766],0,0
77,[0.03719803 0.58454353 0.2255669 ],0,0
78,[1.         0.         0.21552196],0,0
79,[0.89164021 0.11399363 0.29374586],0,0
80,[0.30833434 0.90927162 0.69459638],0,0
81,[0.94652589 0.1890723  0.07945552],0,0
82,[0.34581195 0.78863668 0.61656063],0,0
83,[0.94772838 0.73301472 0.07301138],0,0
84,[0.31717434 0.20130692 0.26101907],0,0
85,[0.67458022 0.45188293 0.7556638 ],0,0
86,[0.01292888 0.93759376 0.1543379 ],0,0
87,[0.75199864 0.8703514  0.03281324],0,0
88,[0.54830027 1.         0.        ],0,0
89,[0.50234502 0.42977555 0.37768678],0,0
90,[0.19442434 0.17573792 0.26105958],0,0
91,[0.21793731 0.29351788 0.9028691 ],0,0
92,[0.9618603  0.25813934 0.02039778],0,0
93,[0.26737167 0.87712185 0.17029918],0,0
94,[0.66995777 0.08495106 0.34832227],0,0
95,[0.1691142  0.62804016 0.3663332 ],0,0
96,[0.78370352 0.52612811 0.40015625],0,0
97,[0.01858189 0.85849605 0.03204665],0,0
98,[0.50411323 1.         0.79059484],0,0
99,[0.35828926 0.94062144 0.25326193],0,0
100,[0.58814132 0.57772503 0.72030551],0,0
101,[0.29020892 0.39586413 0.32019157],0,0
102,[0.93107378 0.74418152 0.33569252],0,0
103,[0.78368187 0.62113408 0.24181555],0,0
104,[0.50430139 0.08871945 0.20600451],0,0
105,[0.0750569  0.0714536  0.61385399],0,0
106,[0.84071532 0.84320301 0.21382713],0,0
107,[0.9605866  0.33169849 0.69043211],0,0
108,[0.60236737 0.47621998 0.68851314],0,0
109,[0.90271982 0.70120261 0.50648917],0,0
110,[0.8727786  0.75249709 0.37053398],0,0
111,[0.99235222 0.40175025 0.03256742],0,0
112,[0.97672511 0.95373705 0.53296128],0,0
113,[0.75984444 0.70126929 0.09217341],0,0
114,[0.80590816 0.63157009 0.96700513],0,0
115,[0.48400517 0.27320122 0.76950571],0,0
116,[0.55907292 0.88198338 0.03577386],0,0
117,[0.69279104 0.92002533 0.17667293],0,0
118,[0.08903101 0.49102206 0.6521123 ],0,0
119,[0.63880202 0.53098154 0.33462342],0,0
120,[0.71935033 1.         0.50365861],0,0
121,[0.39892382 0.98025848 0.17176295],0,0
122,[0.56896023 0.84794203 0.79045743],0,0
123,[0.75724004 0.68618477 0.44669182],0,0
124,[0.97897722 0.         0.42010825],0,0
125,[0.45501882 0.72612613 0.2827559 ],0,0
126,[0.19789378 0.45239408 0.63469336],0,0
127,[0.53436841 0.88507824 0.46980073],0,0
128,[0.20530838 0.64922692 0.38568466],0,0
129,[0.02215128 0.40490337 0.10440688],0,0
130,[0.64693816 0.91403348 0.73222274],0,0
131,[0.97038023 0.14335394 0.83593019],0,0
132,[0.77319551 0.24190197 0.47062025],0,0
133,[0.17263746 0.31190645 0.52193264],0,0
134,[0.39186873 0.39282065 0.71038052],0,0
135,[0.6853559  0.11606581 0.5685768 ],0,0
136,[0.78756104 0.03104519 0.74658587],0,0
137,[0.01748947 0.43231511 0.37834959],0,0
138,[0.0173727  0.07382801 0.66896527],0,0
139,[0.26843308 0.52457144 0.15691606],0,0
140,[0.62286056 0.94616694 0.75227361],0,0
141,[0.36966087 0.96932393 0.3461024 ],0,0
142,[0.27985392 0.42631336 0.98684055],0,0
143,[0.39032422 0.29320654 0.54063822],0,0
144,[0.64385369 0.76741162 0.70873603],0,0
145,[0.68085996 0.41581329 0.43497099],0,0
146,[0.99487512 0.49952311 0.76051257],0,0
147,[0.36200002 0.00987678 0.38774677],0,0
148,[0.52747601 0.40280388 0.20434291],0,0
149,[0.16077943 0.04873744 0.70537444],0,0
150,[0.53335386 0.82538994 0.86420362],0,0
151,[0.76207309 0.80345877 0.90395509],0,0
152,[0.92617783 0.82968993 0.89689265],0,0
153,[0.35078975 1.         0.89398929],0,0
