instance_idx,instance,epsilon,runtime
1000,[0.65971583 0.68700386 0.33532438],0.321,64.18799376487732
1001,[0.24998783 0.38142616 0.52644808],0.033,60.65468096733093
1002,[0.66129663 0.01099601 0.06881357],0.011,59.3301305770874
1003,[2.25147753e-04 3.68589637e-01 5.83675545e-01],0.165,61.745338916778564
1004,[0.02401712 0.59500847 0.70976726],0.041,59.99725556373596
1005,[0.73863163 0.57616641 0.54400063],0.305,61.10749650001526
1006,[0.82357924 0.67998053 0.79889239],0.399,64.35181736946106
1007,[0.99763646 0.20844184 0.19690806],0.301,53.38087487220764
1008,[0.70653421 0.47632986 0.88504915],0.239,62.02975630760193
1009,[0.14923913 0.91614667 0.09481821],0.213,54.55268669128418
1010,[0.69997716 0.23444267 0.8782115 ],0.117,61.57831406593323
1011,[0.62291214 0.00175332 0.44646248],0.035,60.9519989490509
1012,[0.0827055  0.49991788 0.84495414],0.059,60.63464713096619
1013,[0.27675379 0.50080373 0.51655679],0.037,51.16263246536255
1014,[0.06419607 0.98699445 0.46201637],0.281,54.08030104637146
1015,[0.20356952 0.0943196  0.26821327],0.199,63.17992830276489
1016,[0.76275942 0.0821501  0.16948849],0.073,61.52529335021973
1017,[0.18861572 0.87102224 0.82894692],0.175,53.02245378494263
1018,[0.15463311 0.56015769 0.08375678],0.007,49.99411988258362
1019,[0.11734671 0.79584301 0.4497333 ],0.103,59.516669273376465
1020,[0.36476276 0.72276788 0.84969423],0.191,64.18283128738403
1021,[0.98103606 0.91073472 0.25129014],0.399,65.04995656013489
1022,[0.02182673 0.86766012 0.05811001],0.165,61.404765605926514
1023,[0.16566896 0.70025937 0.67831393],0.079,61.51927947998047
1024,[0.17181402 0.5266185  0.6245719 ],0.001,56.77791929244995
1025,[0.63196469 0.57038846 0.70359748],0.249,63.04444098472595
1026,[0.88617451 0.96070919 0.48205563],0.399,63.954495906829834
1027,[0.3200571  0.31409825 0.13440642],0.031,50.574342012405396
1028,[0.53797175 0.26311604 0.95228662],0.049,61.241716384887695
1029,[0.79336583 0.01850767 0.23540939],0.097,62.355653047561646
1030,[0.53762474 0.94193029 0.94248419],0.387,54.69137454032898
1031,[0.21062391 0.48730366 0.54882655],0.001,57.07538056373596
1032,[0.97129538 0.31589107 0.1278132 ],0.295,62.23279047012329
1033,[0.91085953 0.46641513 0.58475936],0.337,55.13371276855469
1034,[0.59279918 0.75614986 0.97030184],0.321,62.95842933654785
1035,[0.42698092 0.89430453 0.81259832],0.307,54.97832155227661
1036,[0.42140073 0.92258668 0.42345736],0.319,55.615423917770386
1037,[0.95763737 0.9951853  0.74521778],0.399,65.63675808906555
1038,[0.58737633 0.88452122 0.14554199],0.385,64.06390404701233
1039,[0.41946246 0.29894636 0.87284637],0.007,52.10715341567993
1040,[0.79007434 0.12042743 0.01451165],0.107,52.52450942993164
1041,[0.22848269 0.73851476 0.5621134 ],0.131,52.99878239631653
1042,[0.7717587  0.46546719 0.62125724],0.267,62.174694776535034
1043,[0.67223715 0.63193252 0.51570072],0.301,53.91352105140686
1044,[0.68035956 0.0438267  0.06196999],0.013,50.788238763809204
1045,[0.49019262 0.59983786 0.23059388],0.193,62.65986967086792
1046,[0.61154337 0.23307722 0.19959358],0.073,61.806182861328125
1047,[0.39046705 0.71089535 0.60671546],0.199,63.34204149246216
1048,[0.1225177  0.43781035 0.51260649],0.069,52.9307324886322
1049,[0.05894675 0.48038192 0.85564006],0.081,51.6097936630249
1050,[0.55999178 0.01424884 0.32701032],0.059,59.27149319648743
1051,[0.16897366 0.24276559 0.3803466 ],0.143,61.50026798248291
1052,[0.69023705 0.8756128  0.13032701],0.399,64.49116206169128
1053,[0.37517218 0.27835526 0.7593494 ],0.023,59.37571692466736
1054,[0.49488406 0.54846433 0.04040149],0.171,63.254844188690186
1055,[0.21231027 0.29595665 0.57155571],0.095,61.01372313499451
1056,[0.23917627 0.60519008 0.19390535],0.071,61.314170122146606
1057,[0.13275365 0.76010983 0.41059295],0.093,61.490087270736694
1058,[0.84762888 0.20110061 0.37103803],0.175,53.457149028778076
1059,[0.06245038 0.81517589 0.58459365],0.109,60.50636315345764
1060,[0.20612011 0.31820685 0.35224902],0.087,53.071510791778564
1061,[0.24592608 0.6002369  0.56735664],0.071,60.967867374420166
1062,[0.27943121 0.25233683 0.30463882],0.083,60.88116788864136
1063,[0.86083358 0.78671154 0.88272553],0.399,65.6338312625885
1064,[0.74220874 0.18462521 0.45450614],0.113,52.44652318954468
1065,[0.19081475 0.62923906 0.57427335],0.057,51.770172119140625
1066,[0.31978621 0.77669583 0.95385945],0.195,64.38069748878479
1067,[0.34635431 0.15796584 0.79919544],0.097,61.93674612045288
1068,[0.74910584 0.35024865 0.47648063],0.199,63.98566126823425
1069,[0.48739244 0.47991696 0.74903139],0.131,53.026196002960205
1070,[0.92145841 0.88053979 0.62496547],0.399,65.62523198127747
1071,[0.03591379 0.27599933 0.39559419],0.193,62.90577435493469
1072,[0.71791511 0.70485108 0.09688745],0.361,63.91818428039551
1073,[0.81451661 0.2818754  0.19696992],0.199,62.49032783508301
1074,[0.52743561 0.84163851 0.84918857],0.331,53.98698401451111
1075,[0.52869093 0.12089444 0.86040651],0.023,61.13575029373169
1076,[0.49362749 0.22878681 0.86483145],0.009,59.17329525947571
1077,[0.5666176  0.36178472 0.34580508],0.113,52.24307107925415
1078,[0.50457243 0.74429888 0.94737813],0.271,61.56026220321655
1079,[0.00764351 0.68995828 0.12707846],0.001,57.86081838607788
1080,[0.69094166 0.89019032 0.45819408],0.399,63.77910304069519
1081,[0.72137982 0.64500589 0.03468047],0.333,62.58581757545471
1082,[0.53627461 0.95377689 0.30660268],0.393,64.19802117347717
1083,[0.52882842 0.48933013 0.01367368],0.159,62.68439960479736
1084,[0.23996535 0.82386097 0.92774425],0.179,62.12906193733215
1085,[0.13792559 0.14586475 0.27403244],0.207,52.5524799823761
1086,[0.11135378 0.87819407 0.63138069],0.171,63.28170084953308
1087,[0.15326652 0.67203193 0.96857952],0.059,60.691598653793335
1088,[0.9140834  0.67388311 0.32191374],0.399,64.83429551124573
1089,[0.12405627 0.24717213 0.62093657],0.163,53.63923215866089
