instance_idx,instance,epsilon,runtime
0,[0. 0. 0.],0.339,72.02639055252075
1,[0. 0. 1.],0,0
2,[0. 1. 0.],0,0
3,[0.20549276 0.         1.        ],0.235,67.29069805145264
4,[0.28294194 0.         0.67634841],0.193,68.22623062133789
5,[0.30618395 0.25131647 0.56199522],0.059,63.80124640464783
6,[0.01641003 0.42970631 0.        ],0.121,65.93400835990906
7,[0.80061628 0.88249936 0.19946741],0,0
8,[0.95390854 0.04810637 1.        ],0,0
9,[0.84971173 0.         0.63649996],0,0
10,[0.4801623  0.69254978 0.91273446],0,0
11,[0.01592171 0.56378068 0.        ],0.055,64.81401991844177
12,[0.         0.13960887 0.61466411],0.271,67.89110279083252
13,[0.01094019 0.         0.81294493],0,0
14,[0.         0.69017597 0.7121061 ],0,0
15,[0.53525267 0.59257409 0.71421637],0,0
16,[0.86781708 0.77242979 0.85985933],0,0
17,[0.86445392 0.57516321 0.50696679],0,0
18,[0.57091177 0.02046512 0.92157407],0,0
19,[0.46428184 0.49975226 0.05613608],0,0
20,[0.58358424 0.90706444 0.601351  ],0,0
21,[0.55496737 1.         0.62708468],0,0
22,[0.         0.71603913 0.18005431],0,0
23,[0.33720124 0.17701317 0.04817136],0,0
24,[0.23095556 0.25241945 0.79753226],0.099,67.74037504196167
25,[0.19907627 0.04723824 0.49004276],0,0
26,[0.54759291 0.2401088  0.16461185],0,0
27,[0.06359055 0.92145538 0.54923699],0,0
28,[0.56765711 0.98751403 0.47754876],0,0
29,[0.21664668 0.39035418 0.77116418],0,0
30,[0.27872558 0.93610793 0.09822755],0,0
31,[0.80620584 0.95362839 0.4406091 ],0.399,70.685964345932
32,[0.57925757 0.43951891 0.        ],0,0
33,[0.91789694 0.02910013 0.15441353],0,0
34,[0.8290172  0.31356933 0.68092414],0,0
35,[0.00078636 0.4509894  0.09317318],0,0
36,[0.50387397 0.37780113 0.81381286],0,0
37,[0.0599806  0.08957741 0.30514769],0,0
38,[0.45278433 0.43993429 0.98005915],0,0
39,[1.         0.64093683 0.21228693],0,0
40,[0.15643689 0.60498664 0.11777413],0,0
41,[0.30734415 0.93170586 0.19827307],0,0
42,[0.24725035 0.85719898 0.82994858],0,0
43,[0.59316948 0.14325973 0.2173285 ],0.033,64.16265845298767
44,[0.96739165 0.12448004 0.71329309],0.303,65.90647554397583
45,[0.28775302 0.62505145 0.15932595],0.111,65.64224243164062
46,[0.93104479 0.29206389 0.        ],0,0
47,[1.         0.56393135 0.02900078],0,0
48,[0.61148243 0.24743759 0.41672235],0,0
49,[0.66088954 0.86533314 0.95812796],0,0
50,[0.99161916 0.11344824 0.51876861],0,0
51,[0.93796813 0.48502908 0.43655593],0,0
52,[0.4693706  0.05054067 0.45167359],0,0
53,[0.6591397  0.84951746 0.04108587],0,0
54,[0.90838543 0.84206095 0.78865079],0,0
55,[0.96422895 0.88324035 0.82468741],0,0
56,[0.64403663 0.12861776 0.02922436],0.053,63.34136915206909
57,[0.04375035 0.52667589 0.95263361],0,0
58,[0.79419537 0.7843905  0.95213343],0,0
59,[0.49678233 0.96368646 0.32845868],0,0
60,[0.41029819 0.15100052 0.19954486],0,0
61,[0.01787884 0.9185679  0.35400563],0,0
62,[0.80673932 0.         0.76691192],0,0
63,[0.08040309 0.41118508 0.99447459],0.099,67.82192349433899
64,[0.27895183 0.18091521 0.59401575],0,0
65,[0.85601254 0.37627037 0.95806029],0,0
66,[0.22344209 0.02214924 0.03851075],0,0
67,[0.58928679 0.5714671  0.73065547],0,0
68,[0.60087512 1.         0.31949501],0,0
69,[0.17830359 0.98034699 0.63959642],0,0
70,[0.49525114 0.07556359 0.22209451],0,0
71,[0.24580985 0.51911951 0.91132493],0,0
72,[0.47135627 0.77323844 0.74878047],0,0
73,[0.91953999 0.58419481 0.222515  ],0,0
74,[0.93636095 0.196871   0.29163396],0,0
75,[0.88681684 0.09354093 0.14715798],0,0
76,[0.73405345 0.42533326 0.75342298],0,0
77,[0.38747135 0.06901617 0.69493663],0,0
78,[0.96890944 0.71087362 0.05696341],0,0
79,[0.30315119 0.73601012 0.30707961],0,0
80,[0.17913577 0.27138722 0.49807295],0,0
81,[0.85542651 0.09672188 0.55389613],0,0
82,[0.39314926 0.12150116 0.65684476],0,0
83,[0.02905072 0.08088296 0.30447084],0,0
84,[0.10629458 0.08067615 0.42092666],0,0
85,[0.56750027 0.27705288 0.96664796],0,0
