instance_idx,instance,epsilon,runtime
4800,"[0.00364109 0.62124109 0.76289791 0.52544943 0.43095233 0.66163462
 0.93493808 0.11866368 0.83577513 0.414833   0.80549632 0.5470842
 0.84983177 0.59411929 0.70645045 0.51547859 0.40728152 0.43448186
 0.90350113 0.37958717 0.27214775 0.74898895 0.99692575 0.43692852
 0.03422399 0.60189889 0.06187989 0.77230153 0.74123385 0.03296045
 0.79382347 0.00420211 0.83081183 0.29726509 0.88350121 0.9980232
 0.17694884 0.78238488 0.1444425  0.40310497 0.93575683 0.66125439
 0.35535635 0.32706763 0.09168094 0.22656846 0.95222135 0.10003723
 0.92186699 0.34405541 0.15884555 0.79759087 0.96981958 0.46496251
 0.92994896 0.80209296 0.51344804 0.73917722 0.51109978 0.09949618
 0.39689113 0.78632798 0.49472568 0.40041394 0.45678755 0.80309845
 0.71240509 0.59066932 0.79690803 0.20686268 0.3134159  0.59035971
 0.42915797 0.60832233 0.41503013 0.92838475 0.6882334  0.4982685
 0.70786718 0.19285371 0.04733611 0.15910387 0.50107112 0.05056935
 0.73609457 0.71954898 0.85830175 0.10668921 0.39629389 0.53921298
 0.09387591 0.81075075 0.42323848 0.184105   0.04976798 0.78469191
 0.52913526 0.76319034 0.38877551 0.2424925 ]",0.017,58.02144432067871
4801,"[0.35808022 0.38388567 0.96379124 0.24086872 0.17011115 0.03758963
 0.80183292 0.77229939 0.84145322 0.62627729 0.18174227 0.50226143
 0.13656935 0.587598   0.37994824 0.0771123  0.2014959  0.21643444
 0.29432937 0.8245566  0.55036623 0.94979197 0.10505763 0.42400853
 0.66935156 0.68060855 0.84287633 0.08371408 0.56839024 0.2520081
 0.55475131 0.95881008 0.21146085 0.63913969 0.37516226 0.83667432
 0.62469167 0.22487217 0.18217664 0.13477518 0.76739268 0.88653085
 0.86936801 0.58252966 0.74786387 0.92702918 0.61111606 0.37462666
 0.75585074 0.61590499 0.63426369 0.99589383 0.7793851  0.87117568
 0.02903934 0.69250829 0.96915822 0.80205882 0.41761977 0.15150231
 0.29448825 0.23337088 0.42819417 0.8622283  0.32035515 0.3904546
 0.34989032 0.47048333 0.64756304 0.04360774 0.7738374  0.85528099
 0.98936932 0.13820635 0.56736309 0.46177694 0.97693916 0.87356198
 0.50459373 0.7382857  0.97543598 0.23037671 0.91826809 0.0768743
 0.05562304 0.69147941 0.66907499 0.09375692 0.20913369 0.61797481
 0.46973056 0.8536997  0.2655683  0.15346312 0.55606656 0.34351275
 0.85412897 0.46606069 0.06870674 0.20004086]",0.001,55.13153076171875
4802,"[0.13302401 0.41592164 0.66548982 0.58257111 0.29146665 0.17388574
 0.53048249 0.05389402 0.81648108 0.71375535 0.6302227  0.29142549
 0.45935335 0.33813659 0.25467171 0.03389633 0.08337021 0.72028204
 0.13814919 0.24826995 0.09948219 0.99953678 0.01243729 0.02883423
 0.56859473 0.41333042 0.0466173  0.45368105 0.60993372 0.20150033
 0.86603579 0.01198228 0.08385625 0.60451821 0.33469545 0.12234653
 0.66130069 0.96057769 0.78366358 0.56883247 0.14708819 0.76196262
 0.8391254  0.7927179  0.17191904 0.68101788 0.44118541 0.64119655
 0.6601709  0.08233724 0.15667304 0.36245031 0.52473445 0.16407272
 0.31186816 0.17148033 0.8544979  0.80651596 0.29407574 0.29889397
 0.19304805 0.05990336 0.88553287 0.61504671 0.34614376 0.55375591
 0.2075879  0.89768623 0.46833704 0.97303897 0.46903116 0.80988904
 0.2785782  0.41837228 0.14353229 0.18438823 0.17024862 0.96257052
 0.58895212 0.32749816 0.61813646 0.87996878 0.60087334 0.73326096
 0.88596275 0.47964027 0.89782939 0.73260918 0.65686266 0.18501247
 0.9763138  0.3877319  0.79185094 0.67052611 0.85013239 0.39017903
 0.55198651 0.24721496 0.6299282  0.0594954 ]",0.075,4172.502408504486
4803,"[0.29022905 0.08065403 0.7649721  0.8354348  0.14850607 0.55516291
 0.06604426 0.9159945  0.7329305  0.92374588 0.48944122 0.09198702
 0.54396831 0.95203779 0.42764918 0.62740201 0.50415384 0.62967884
 0.00106281 0.2868535  0.03142478 0.59058209 0.1708401  0.91243884
 0.75442905 0.15793147 0.14205624 0.75739439 0.74571241 0.53874662
 0.06024694 0.08731657 0.59534332 0.55590134 0.39006242 0.65519483
 0.76993245 0.57330557 0.48251313 0.32314278 0.1325743  0.27035902
 0.49300924 0.75367059 0.25474922 0.66242204 0.1351296  0.01401113
 0.73516943 0.19142743 0.82053119 0.6458442  0.71612261 0.18125466
 0.56988068 0.02206656 0.09712578 0.43916583 0.3367998  0.80945623
 0.00770402 0.22372248 0.67729403 0.56103099 0.42811328 0.25208123
 0.26281129 0.4412614  0.92994513 0.84159743 0.89366983 0.58173305
 0.9976926  0.5887071  0.04276666 0.6330366  0.10997991 0.27053793
 0.66427478 0.43779225 0.36424038 0.91763266 0.51968525 0.32862827
 0.04628522 0.07596969 0.79234337 0.95003621 0.76469528 0.9253273
 0.14875888 0.63391701 0.5989413  0.84399305 0.88047923 0.96440048
 0.76442343 0.68514236 0.37011488 0.81113411]",0.043000000000000003,1640.434353351593
4804,"[0.0386911  0.44988941 0.07307548 0.55488727 0.75375092 0.59452831
 0.89987156 0.60550651 0.67208943 0.60362711 0.52809374 0.16696681
 0.67411396 0.09986814 0.50803475 0.39022418 0.72272646 0.32779164
 0.04087306 0.18269494 0.2743632  0.40170604 0.79406616 0.7738881
 0.59762887 0.61617535 0.18670527 0.06550441 0.88814834 0.79739395
 0.57246592 0.2193054  0.75165384 0.76848645 0.07401807 0.47972092
 0.34325722 0.97898689 0.08706377 0.30520998 0.23289884 0.95503565
 0.33261335 0.09473058 0.19444509 0.20099258 0.7361964  0.80511443
 0.41262966 0.50763873 0.57358431 0.90994865 0.30351065 0.99542012
 0.29927031 0.18932874 0.87458484 0.7045361  0.38255584 0.12299348
 0.08601252 0.67274223 0.6196107  0.0937345  0.77807997 0.26289132
 0.86139264 0.66710937 0.44164742 0.22130954 0.18403949 0.22228116
 0.6695036  0.8567985  0.03332494 0.81705464 0.27522706 0.65811112
 0.51578145 0.1490895  0.51350745 0.63057521 0.26984602 0.65900361
 0.28060959 0.30823273 0.0513012  0.71277552 0.89568166 0.10614308
 0.21719842 0.36748712 0.27764833 0.5974892  0.09892883 0.86582525
 0.51161024 0.01880873 0.76885935 0.55106892]",0.023,60.12669825553894
4805,"[0.35659556 0.92445912 0.63684595 0.44688005 0.66746245 0.70352398
 0.85440311 0.64050537 0.73954985 0.47690492 0.58946905 0.89957665
 0.55554318 0.35594827 0.73742801 0.79156453 0.57641272 0.39049727
 0.5723065  0.07446409 0.62068131 0.07116888 0.26320361 0.83004971
 0.43663533 0.54272171 0.80669473 0.0636459  0.01240992 0.68714773
 0.73600226 0.50504427 0.66421184 0.39532734 0.34819243 0.67553252
 0.20620123 0.9699221  0.01433612 0.06946093 0.83587077 0.91604576
 0.56314753 0.74741487 0.62346518 0.40670864 0.17593977 0.9788299
 0.88755346 0.69800687 0.73244298 0.2940137  0.64937674 0.12322625
 0.65917797 0.34152162 0.13880895 0.94571565 0.45142362 0.91029909
 0.14629315 0.34706725 0.22156337 0.24611165 0.63964514 0.30122262
 0.86281412 0.01439972 0.46159529 0.05369671 0.16378977 0.41391936
 0.95012546 0.02919826 0.74093447 0.47601412 0.58459483 0.18841872
 0.01335863 0.54287614 0.87674166 0.02502814 0.75982745 0.29910826
 0.22030926 0.05784405 0.53425053 0.09888557 0.11729515 0.02718285
 0.00499658 0.38297026 0.35739545 0.65661904 0.0184966  0.40785752
 0.11379691 0.6643488  0.64808519 0.11719407]",0.051000000000000004,82.07464003562927
4806,"[0.95533688 0.34128628 0.97573008 0.12399545 0.19120247 0.56825454
 0.09762807 0.80821797 0.92749953 0.84522702 0.27030527 0.69001291
 0.60824073 0.35295588 0.3825902  0.88333962 0.91592687 0.10548626
 0.88036689 0.04035805 0.61968075 0.76478074 0.45560154 0.13068073
 0.64838589 0.27743534 0.37228232 0.55852094 0.82559802 0.64623612
 0.78584534 0.49191204 0.87462421 0.21627208 0.39346903 0.66414864
 0.72563245 0.28304898 0.27258341 0.31325446 0.39688702 0.77634404
 0.69716574 0.95354179 0.71464514 0.42207388 0.27695831 0.88706142
 0.92886089 0.44180469 0.73607907 0.42972004 0.0093668  0.07946251
 0.43286722 0.35276957 0.18841739 0.29449192 0.09844433 0.69315057
 0.73299494 0.75688006 0.61061678 0.58399396 0.18674032 0.25901313
 0.79368938 0.77113577 0.67798163 0.8667981  0.42876863 0.76593119
 0.97777492 0.36329984 0.61504127 0.80397736 0.91441719 0.25404436
 0.90535511 0.65188423 0.08054069 0.95509409 0.5205013  0.17127731
 0.73259382 0.18564872 0.94527115 0.9337635  0.08665176 0.11088136
 0.97853244 0.8712717  0.9279646  0.44218225 0.09429076 0.0943924
 0.04399765 0.14628968 0.52796109 0.39802045]",0.051000000000000004,47.87510108947754
4807,"[0.89890444 0.57830687 0.47328498 0.7162393  0.04758142 0.90705912
 0.88880662 0.72933302 0.24273762 0.2325414  0.77844302 0.06040169
 0.02532906 0.4303031  0.2843105  0.93705567 0.78741296 0.09668257
 0.23522297 0.04455911 0.73813706 0.51751271 0.4300597  0.22072603
 0.56662097 0.93969555 0.61720468 0.72300686 0.79937109 0.73662931
 0.23662785 0.4380414  0.53894445 0.1501685  0.34975931 0.00328957
 0.16001986 0.73411497 0.95516321 0.73796578 0.67683092 0.3993207
 0.70392434 0.11208444 0.18856486 0.90650851 0.33462839 0.75362862
 0.54487592 0.73774906 0.14009101 0.77623635 0.37724084 0.47229613
 0.00682035 0.57363891 0.64667573 0.18595696 0.46459864 0.58621089
 0.08655469 0.91200327 0.96646129 0.8852853  0.48229352 0.14666266
 0.67808909 0.33214665 0.07390788 0.78449951 0.88778178 0.70997949
 0.55169812 0.53946473 0.95729258 0.46033058 0.56425114 0.87402954
 0.1309495  0.34860778 0.7762802  0.57805597 0.26254683 0.9433813
 0.6256292  0.19250429 0.17680151 0.83533454 0.42490084 0.67461552
 0.62893152 0.23874846 0.35729701 0.26210963 0.95676622 0.3630227
 0.38513333 0.56108406 0.52184996 0.89914083]",0.007,48.04949998855591
4808,"[0.59217872 0.12829342 0.20551349 0.10999665 0.76829814 0.34437238
 0.4813811  0.14235096 0.5459084  0.16619008 0.31407624 0.46007983
 0.06205615 0.92138578 0.69879067 0.33295881 0.34847989 0.11566118
 0.09336509 0.79175081 0.90063654 0.87525112 0.96207834 0.49361717
 0.59358433 0.36434551 0.00326479 0.77780254 0.99539352 0.48932968
 0.75978754 0.75625513 0.24931962 0.2339319  0.08674259 0.84209462
 0.56572074 0.28861053 0.09757679 0.9450457  0.94951102 0.96733467
 0.97526795 0.16153165 0.09850698 0.8832881  0.20518624 0.22425135
 0.61720229 0.98954243 0.23375704 0.50420708 0.03760769 0.08544661
 0.95434453 0.90329749 0.41842967 0.95884889 0.58682267 0.77689147
 0.94637145 0.80480595 0.41261864 0.02100412 0.18383791 0.84945061
 0.9632792  0.38939063 0.14560366 0.82375525 0.59659002 0.79327799
 0.84484779 0.79206343 0.8468455  0.61733202 0.5929654  0.67789893
 0.01035145 0.3479201  0.58642444 0.03366267 0.49670501 0.58953281
 0.69903571 0.48296694 0.60663469 0.76498686 0.62400606 0.43124862
 0.71120991 0.24444717 0.65973724 0.34402205 0.74736424 0.78804443
 0.46783869 0.30208545 0.35446546 0.29766208]",0.011,60.52412796020508
4809,"[0.92813575 0.49699803 0.80495125 0.52252848 0.64780106 0.55412913
 0.84015763 0.65244489 0.54506287 0.54379353 0.81442563 0.13686686
 0.61016324 0.21192336 0.0683929  0.42032918 0.83264782 0.18794134
 0.64132015 0.91994828 0.85153927 0.15294291 0.33194472 0.59363586
 0.06864722 0.86798796 0.27216162 0.66003047 0.46438399 0.15696975
 0.63386554 0.55836751 0.47414509 0.18930042 0.34104442 0.68409864
 0.71018359 0.83334528 0.13182068 0.84824547 0.20273802 0.01161945
 0.77319536 0.95967695 0.53289857 0.21996323 0.81469268 0.40300228
 0.26222297 0.03369657 0.4450972  0.88229814 0.56401325 0.29264162
 0.40449234 0.75083981 0.05206197 0.84639778 0.53684556 0.14312188
 0.09878069 0.74587351 0.57859794 0.61137328 0.24817373 0.46426136
 0.2792564  0.17304891 0.38727517 0.23037658 0.63254393 0.28781664
 0.54557398 0.88000251 0.08189237 0.61037067 0.37421135 0.24474153
 0.9491608  0.51560421 0.29638534 0.68027806 0.92011381 0.54276624
 0.86390913 0.86984731 0.93875668 0.05832469 0.34801694 0.33017758
 0.57512872 0.79055526 0.43546393 0.32017465 0.68208979 0.95107511
 0.46298845 0.96300298 0.13554597 0.34402123]",0.005,56.01438641548157
