instance_idx,instance,epsilon,runtime
0,[0.       0.056443 0.439155 0.003467 0.422915 0.414912],0.029,64.61555314064026
1,[0.021277 0.051699 0.415055 0.003467 0.422915 0.414912],0.035,65.5801317691803
2,[0.042553 0.051489 0.385004 0.003467 0.422915 0.414912],0.035,64.98049807548523
3,[0.06383  0.045485 0.314639 0.003467 0.422915 0.414912],0.043,64.16284775733948
4,[0.085106 0.042482 0.251116 0.003467 0.422915 0.414912],0,0
5,[0.106383 0.041161 0.207528 0.003467 0.422915 0.414912],0,0
6,[0.12766  0.041161 0.171824 0.003467 0.422915 0.414912],0,0
7,[0.148936 0.041161 0.152782 0.003467 0.422915 0.414912],0,0
8,[0.170213 0.041161 0.13493  0.003467 0.422915 0.414912],0,0
9,[0.191489 0.041161 0.140583 0.003467 0.422915 0.414912],0,0
