instance_idx,instance,epsilon,runtime
0,[0. 0. 0.],0.399,71.44447135925293
1,[1. 0. 0.],0.105,65.62219285964966
2,[1.         0.83320849 0.        ],0,0
3,[0.         0.96685035 0.50589622],0.061,65.99146819114685
4,[1.         0.         0.52473462],0.105,65.0616569519043
5,[0.94449075 0.26812817 1.        ],0,0
6,[1.         0.03369573 0.        ],0,0
7,[0.58764948 1.         0.38676753],0,0
8,[0.21561818 0.44822967 0.00390827],0,0
9,[0.22145072 0.46506029 0.51136517],0,0
10,[0.23449968 0.24413016 0.21018695],0,0
11,[0.49394786 0.30700355 0.        ],0,0
12,[0.92686869 0.59159313 0.6720258 ],0,0
13,[0.18046318 1.         0.90763594],0,0
14,[0.10599542 0.33378096 0.75774963],0,0
15,[0.78210967 0.9433555  0.43367129],0,0
16,[0.91822998 0.67465096 0.30513597],0,0
17,[0.64052909 0.88887292 0.89275242],0,0
18,[0.54626879 0.59256267 0.01411171],0,0
19,[0.24555883 0.80297677 0.42523531],0,0
20,[0.1656892  0.55197101 0.73778424],0,0
21,[0.74006777 0.37619438 0.45191656],0,0
22,[0.54986831 0.78383207 0.54065706],0,0
23,[0.4179544  0.49229511 0.00875235],0.005,61.95331263542175
24,[0.0173407  0.70804683 1.        ],0,0
25,[0.64694675 0.39527349 0.15478819],0,0
26,[0.54278084 0.98943217 0.77886553],0,0
27,[0.58559351 0.86646946 0.21907753],0,0
28,[0.55599051 0.95953704 0.57846132],0,0
29,[0.49340755 0.26975297 0.54747602],0,0
30,[1.         0.00363786 0.79252064],0,0
31,[0.85289087 0.89260923 0.7476502 ],0,0
32,[0.84067469 0.52155972 0.56136974],0,0
33,[0.42824781 0.05453878 0.88231486],0,0
34,[0.58319342 0.19964248 0.50247662],0,0
35,[0.4915945  0.35810837 0.33751574],0,0
36,[0.54925544 0.62738284 0.6144993 ],0,0
37,[0.46276245 0.02611869 0.21640403],0,0
38,[0.16028077 0.58797743 0.87295507],0,0
39,[0.82915302 0.80266713 0.82660841],0,0
40,[0.24435205 0.84774546 0.67757634],0,0
41,[0.05909615 0.01472539 0.        ],0,0
42,[0.78301435 0.24984232 0.09800324],0,0
43,[0.64219923 0.34562187 0.05673532],0,0
44,[0.14134632 0.53034585 0.15855934],0,0
45,[0.26332383 0.71633392 0.45439712],0,0
46,[0.31617588 0.47621887 0.00936851],0,0
47,[0.38568223 0.42285625 0.17909804],0,0
48,[0.08658152 0.90637983 0.51160625],0,0
49,[0.1946055  0.60936977 0.82847069],0,0
50,[0.         0.01591061 0.13617385],0,0
51,[0.74550756 0.1596482  0.7123951 ],0.003,61.42815542221069
52,[0.70208157 0.54783486 0.21271306],0,0
53,[1.         0.80338731 0.51829978],0,0
54,[0.21196342 0.65264134 0.39265656],0,0
55,[0.5813171  0.32222104 0.63635168],0.001,60.81729054450989
56,[0.03976534 0.29936259 0.98422056],0,0
57,[0.89520031 0.30721839 0.87128873],0,0
58,[0.30326003 0.94623084 0.75290239],0,0
59,[0.41408035 0.25266822 0.        ],0,0
60,[0.89853476 0.03615623 0.83197666],0,0
61,[0.98597222 0.57366022 0.16726745],0,0
62,[0.88707989 0.98105062 0.71359142],0,0
63,[0.5111727  0.37949172 0.34723303],0,0
64,[0.19370362 0.67853555 0.43548437],0,0
65,[0.18150903 0.10330605 0.67453805],0,0
66,[0.28829217 0.50249909 0.32508769],0,0
67,[0.89110224 0.90623825 0.00986216],0,0
68,[0.18856237 0.32877864 1.        ],0,0
69,[0.7979693  0.34024322 0.20902914],0,0
70,[0.68459689 0.84366266 0.94393628],0,0
71,[0.33833231 0.88878629 0.69349183],0,0
72,[0.48564314 0.99289689 0.23111305],0,0
73,[0.73802313 0.08337143 0.16474444],0,0
74,[0.93233313 0.21289801 0.76707475],0,0
75,[0.60683393 0.84712691 0.36750354],0,0
76,[0.33459889 0.29190057 0.87775023],0,0
77,[0.61078637 0.96139488 0.89803012],0,0
78,[0.11995255 0.55436562 0.09789263],0,0
79,[0.01918741 0.07177371 0.87647135],0,0
80,[0.80364191 0.83437878 0.3396971 ],0,0
81,[0.62252054 0.78732647 0.37765267],0,0
82,[0.57601278 0.22374764 0.07486745],0,0
83,[0.25755301 0.89724208 0.56814217],0,0
84,[0.94707943 0.46006262 0.27458705],0,0
85,[0.80248794 0.83363384 0.00398692],0,0
86,[0.68036194 0.09044193 0.10895725],0,0
87,[0.90517733 0.03828358 0.23621533],0,0
88,[1.         0.42295207 0.10942291],0,0
89,[0.15151371 0.2416248  0.75163408],0,0
90,[0.08478509 0.91743143 0.37789551],0,0
91,[0.98150138 0.91587486 0.29179668],0,0
92,[0.24044486 0.47948923 0.09365598],0,0
93,[0.65254392 0.03787636 0.00207026],0,0
94,[0.99423691 0.296277   0.60096948],0,0
95,[0.44351133 0.31417919 0.05567773],0,0
96,[0.92270923 0.97705041 0.98236894],0,0
97,[0.09360118 0.21514457 0.62267079],0,0
98,[0.99151735 0.54602862 0.6945951 ],0,0
99,[0.66265849 0.25946107 0.5447973 ],0,0
100,[0.296176   0.24663361 0.07448475],0,0
101,[0.26874575 0.9907448  0.44904526],0,0
102,[0.65250292 0.64755234 0.95267051],0,0
103,[0.38214102 0.3076199  0.32574198],0,0
104,[0.30590787 0.85318744 0.90440181],0,0
105,[0.29151189 0.335435   0.5474779 ],0,0
106,[0.57701233 0.59959015 0.24179964],0,0
107,[0.         0.2439864  0.06524552],0,0
108,[0.54850098 0.06947468 0.06810915],0,0
109,[0.6354804  0.29150304 0.80086752],0,0
110,[0.48862844 0.86885144 0.14889013],0,0
111,[0.4970689  0.80053265 0.07012964],0,0
112,[0.95977353 0.17278837 0.78454188],0,0
113,[0.99662877 0.8273558  0.31812125],0,0
114,[0.08938323 0.51719798 0.93082476],0,0
115,[0.28220691 0.90026162 0.13611746],0,0
116,[0.91973748 0.0299402  0.31432456],0,0
117,[0.91209797 0.8094911  0.91835434],0,0
118,[0.84765205 0.75126289 0.69603125],0,0
119,[0.16303303 0.43468872 0.15268889],0,0
120,[0.71756723 0.67209973 0.24945204],0,0
121,[0.04550617 0.97056096 0.81728728],0,0
122,[0.54650175 0.54447825 0.86126989],0,0
123,[0.44734718 0.39740463 0.33741998],0,0
124,[0.24550411 0.02251778 0.65192979],0,0
125,[0.40950218 0.5739864  0.05502049],0,0
126,[0.34570653 0.13749286 0.11920335],0,0
127,[0.24668606 0.83481133 0.39784304],0,0
128,[0.3933811  0.61623167 0.22997794],0,0
129,[0.         0.53167995 0.50320328],0,0
130,[0.65399677 0.4404225  0.6928817 ],0,0
