instance_idx,instance,epsilon,runtime
7000,"[0.81435073 0.99804901 0.70516755 0.59618305 0.68267705 0.12338283
 0.06915133 0.86337636 0.55865325 0.09984104]",0,61.26728010177612
7001,"[0.46454687 0.01077465 0.27727201 0.1178657  0.33211385 0.24660286
 0.59836111 0.63761631 0.39797315 0.1385472 ]",0.091,59.130122900009155
7002,"[0.00344727 0.17423222 0.42344361 0.73497052 0.75673125 0.55040294
 0.51004406 0.3668384  0.27634441 0.01046454]",0.045,55.826372385025024
7003,"[0.77270261 0.36805722 0.23079041 0.50348557 0.29804252 0.68244296
 0.6215576  0.08268289 0.40825363 0.44863452]",0.037000000000000005,46.73330760002136
7004,"[0.3114984  0.91827627 0.37738178 0.21767216 0.69026768 0.34516116
 0.0259983  0.16292438 0.08148746 0.0470849 ]",0.199,64.52161359786987
7005,"[0.24454348 0.08678055 0.33041905 0.51322722 0.63478599 0.7065337
 0.56626137 0.01193444 0.22054705 0.80802613]",0.013000000000000001,47.46313714981079
7006,"[0.49294422 0.8570203  0.69925886 0.19224558 0.34539969 0.50031703
 0.90755468 0.89325171 0.30346478 0.12956947]",0.041,57.0763475894928
7007,"[0.09322267 0.39216041 0.54087063 0.23185905 0.63459241 0.55528062
 0.32076017 0.2390678  0.38518486 0.25886762]",0.097,83.55911803245544
7008,"[0.4575051  0.8656694  0.4355832  0.06064101 0.38777372 0.22444068
 0.3245974  0.95416879 0.84279159 0.9312198 ]",0,52.44472694396973
7009,"[0.84203511 0.84275854 0.63905275 0.47241913 0.23633423 0.22764661
 0.17704708 0.58014412 0.42019887 0.82871721]",0,51.64360332489014
7010,"[0.49987256 0.98002415 0.99454486 0.34028586 0.77948161 0.30219467
 0.28090615 0.53332928 0.04318919 0.30347057]",0,51.1819908618927
7011,"[0.8436973  0.5414013  0.99082717 0.38701671 0.85644575 0.84512551
 0.16219794 0.05146437 0.59435149 0.84871002]",0.123,58.38769054412842
7012,"[0.88977134 0.80274628 0.41355655 0.11736701 0.10750257 0.48411681
 0.99322946 0.47265647 0.30667342 0.44957499]",0.053000000000000005,54.0675950050354
7013,"[0.46133471 0.51173607 0.79024886 0.15170068 0.38740115 0.57661521
 0.29604329 0.33785335 0.94327333 0.68030024]",0.025,47.157841205596924
7014,"[0.25782113 0.68528115 0.52842473 0.34887481 0.41686235 0.84285098
 0.3789561  0.59013276 0.59745912 0.92216894]",0.027000000000000003,57.3295578956604
7015,"[0.21848387 0.13221678 0.40976708 0.54786139 0.03377001 0.76752973
 0.44285931 0.44070727 0.45621521 0.59614339]",0.10500000000000001,157.54611468315125
7016,"[0.56500082 0.8254145  0.14431509 0.22282112 0.46843586 0.18373763
 0.74542919 0.75879928 0.44403925 0.67007995]",0,50.81891918182373
7017,"[0.98835599 0.1232027  0.55389864 0.41944298 0.18743135 0.79297378
 0.40686663 0.96683578 0.65315805 0.16792517]",0.07300000000000001,57.22664761543274
7018,"[0.77631581 0.05188574 0.14309753 0.6167826  0.92907381 0.25223117
 0.37908522 0.7874981  0.81439534 0.88959699]",0,51.71385335922241
7019,"[0.98491067 0.25859004 0.22656578 0.91713025 0.39882665 0.34378984
 0.13051474 0.34102352 0.53768574 0.39178779]",0,51.27737498283386
7020,"[0.50584831 0.2424401  0.71540245 0.04856015 0.78546988 0.86148588
 0.26490109 0.53106251 0.828028   0.33633175]",0,51.557331800460815
7021,"[0.10663381 0.96184657 0.63175118 0.76466869 0.52028215 0.00980573
 0.16671859 0.35006321 0.31101821 0.14317258]",0.199,61.44260811805725
