instance_idx,instance,epsilon,runtime
0,[0. 0. 0.],0.399,73.79752373695374
1,[0. 0. 0.],0,0
2,[0.89645989 0.         1.        ],0,0
3,[0.55416304 1.         1.        ],0,0
4,[0.03914756 0.74816693 1.        ],0.001,62.92892503738403
5,[0. 1. 1.],0,0
6,[0.94240828 0.98750019 0.        ],0,0
7,[0.80705992 0.98201292 0.55577653],0,0
8,[0.37317829 0.         0.18438489],0,0
9,[0.60678771 1.         0.97594678],0,0
10,[0.38137316 0.94127718 0.        ],0,0
11,[0.93367066 0.55151135 0.        ],0,0
12,[0.79000857 0.36700569 0.8369636 ],0,0
13,[0.70320922 0.         0.49500826],0,0
14,[1.         0.26623151 0.32120223],0,0
15,[1.         0.20828039 0.57132655],0,0
16,[0.         1.         0.81459906],0,0
17,[0.33133162 0.08206044 0.31588632],0,0
18,[0.42624429 0.9640868  0.09808181],0,0
19,[0.49481474 0.72994667 0.55060917],0,0
20,[0.9113652  0.55788723 0.98044175],0,0
21,[0.57698289 0.60686652 0.44485171],0,0
22,[0.56606462 0.39710197 0.57972947],0,0
23,[0.08184401 0.19479409 0.17825955],0,0
24,[0.59215654 0.67830951 0.47741137],0,0
25,[0.         0.78276398 0.89056435],0.005,63.969727993011475
26,[1.         0.87057082 0.91265765],0,0
27,[0.9996418  0.55821455 0.38942635],0,0
28,[0.73835298 0.28403563 0.82332091],0,0
29,[0.9113497  0.92497778 0.59433619],0,0
30,[1.         0.59866901 0.45060564],0,0
31,[0.66332614 1.         0.9320313 ],0,0
32,[0.81808068 0.08162892 0.61805961],0,0
33,[0.46121776 0.63209228 0.857849  ],0,0
34,[0.17816495 0.73393164 0.10641884],0,0
35,[0.15191304 0.79733512 0.32877058],0,0
36,[0.84434763 0.09995297 0.13658595],0,0
37,[0.70684689 0.04430769 0.5778869 ],0,0
38,[0.9537772  0.5356719  0.68805338],0,0
39,[0.         0.63696867 0.61140699],0,0
40,[0.5950332  0.39198141 0.36758764],0,0
41,[1.         0.03542226 0.00783985],0,0
42,[0.97957123 0.18473153 0.11339785],0,0
43,[0.19278244 0.80352899 0.95270543],0,0
44,[0.         0.42655975 0.09028034],0,0
45,[0.24760246 0.22076488 0.65330383],0,0
46,[0.34196485 0.18005465 0.50539143],0,0
47,[0.01732854 0.10026823 1.        ],0,0
48,[0.1843656  0.35916701 0.7365648 ],0,0
49,[0.8515349  0.92184242 0.15949903],0,0
50,[0.67853698 0.97014522 0.04517506],0,0
51,[0.68225536 0.84842632 0.33696679],0,0
52,[0.23796247 0.59857259 0.43961734],0,0
53,[0.15874648 0.47279218 0.40635019],0,0
54,[0.57044035 0.5099484  0.30528259],0,0
55,[0.34912521 0.84062479 0.24316625],0,0
56,[0.56155216 0.01134894 0.74680514],0,0
57,[0.32695295 0.04477239 0.27391014],0,0
58,[0.22693965 0.95665978 0.34714241],0,0
59,[0.27679431 0.35981607 0.95757587],0,0
60,[0.63792789 0.62297726 0.72016256],0,0
61,[0.38135289 0.41530392 0.65365987],0,61.70869731903076
62,[0.         0.19210515 0.32884638],0,0
63,[0.2429965  0.63937994 0.37426486],0,0
64,[0.89265161 0.56979202 0.41097043],0,0
65,[0.40934214 0.70412645 0.41489178],0,0
66,[0.6748486  0.0458609  0.44273598],0,0
67,[0.26323258 0.15731222 0.52713497],0,0
68,[0.49616459 0.56301241 0.76108402],0,0
69,[0.90128474 0.49586213 0.30591106],0,0
70,[0.47535405 0.811869   0.883782  ],0,0
71,[0.82829109 0.18777576 1.        ],0,0
72,[0.64511688 0.08272836 0.72207029],0,0
73,[1.         0.4026409  0.67433296],0,0
74,[0.31934821 0.21342442 0.71371796],0,0
75,[0.00084578 0.82562174 0.52193568],0,0
76,[0.09769653 0.11833916 0.64464936],0,0
77,[0.88514364 0.28020874 0.97878463],0,0
78,[0.10012863 0.85698163 0.38833242],0,0
79,[0.0810123  0.27491397 0.44544955],0,0
80,[0.80261799 0.86443986 0.12115023],0,0
81,[0.52709099 0.65282948 0.33795264],0,0
82,[0.88332694 0.27862809 0.00459988],0,0
83,[0.03972309 0.68319133 0.55239073],0,0
84,[0.95907943 0.94189713 0.90910176],0,0
85,[0.04108436 0.75166387 0.69748123],0,0
86,[0.6635943  0.71470616 0.90185478],0,0
87,[0.64814651 0.37312917 0.53166068],0,0
88,[0.20939862 0.58885925 0.        ],0,0
89,[0.1517298  0.33389665 0.78819559],0,0
90,[0.727674   0.33876803 0.61749283],0,0
91,[0.04027082 0.1635165  0.98232622],0,0
92,[0.29230431 0.39558157 0.54474966],0,0
93,[0.29623829 0.47926304 0.23301724],0,0
94,[0.04742948 0.17932    0.51907225],0,0
95,[0.07037334 0.40399986 0.32268159],0,0
96,[0.41936318 0.09873986 0.90836883],0,0
97,[0.47953085 0.84382759 0.97658722],0,0
98,[0.34723264 0.48028991 0.69730639],0,0
99,[0.43135318 0.30223672 0.73279844],0,0
100,[0.90619917 0.92305513 0.62375613],0,0
101,[0.37962871 0.97819617 0.63600871],0,0
102,[0.0652701  0.08393678 0.74806166],0,0
103,[0.06052177 0.00674112 0.38859346],0,0
104,[0.52520141 0.44959774 0.48431141],0,0
105,[0.59206953 0.68148881 0.41810324],0,0
