instance_idx,instance,epsilon,runtime
2000,[0.64828876 0.1723938  0.87267584],0.001,60.932934284210205
2001,[0.61314371 0.15720965 0.9626515 ],0.023,59.8789644241333
2002,[0.51838125 0.07289488 0.62702636],0.107,51.067580699920654
2003,[0.253182   0.80377076 0.81808383],0.121,59.95312738418579
2004,[0.97901994 0.50191344 0.45508886],0.333,62.15794587135315
2005,[0.75352039 0.13247368 0.54708038],0.037000000000000005,51.1778519153595
2006,[0.54626683 0.08947139 0.41810284],0.083,59.81909132003784
2007,[0.85334189 0.85623674 0.09924243],0.399,63.139299631118774
2008,[0.09068394 0.26271291 0.87504819],0.227,59.45180535316467
2009,[0.12887035 0.72006485 0.10117107],0.025,49.21772623062134
2010,[0.62316656 0.35609507 0.78916538],0.081,52.903159618377686
2011,[0.23367114 0.63926093 0.23573609],0.035,59.62704610824585
2012,[0.71370016 0.87376309 0.12681642],0.389,62.475062131881714
2013,[0.86665442 0.59362931 0.12712522],0.325,52.605539083480835
2014,[0.42754645 0.16086646 0.70056763],0.109,59.94478702545166
2015,[0.75891358 0.10579659 0.50629014],0.027000000000000003,58.105923891067505
2016,[0.81467738 0.93625501 0.51367079],0.399,63.755539655685425
2017,[0.95034827 0.53573662 0.39430074],0.335,62.528059244155884
2018,[0.84825959 0.49302563 0.47204055],0.263,54.098756551742554
2019,[0.49032482 0.84686708 0.83220835],0.259,61.3767614364624
2020,[0.40352162 0.33332511 0.49207323],0.033,59.19850993156433
2021,[0.57279501 0.23835195 0.79420831],0,54.28732776641846
2022,[0.48649463 0.33407088 0.10682847],0.009000000000000001,57.151206731796265
2023,[0.23882648 0.94937459 0.30517807],0.191,62.61722159385681
2024,[0.16883198 0.46071214 0.30716684],0.085,60.469510555267334
2025,[0.03511546 0.32316934 0.54427249],0.221,59.5632438659668
2026,[0.55173228 0.35658675 0.447432  ],0.049,60.699785470962524
2027,[0.96558885 0.3773786  0.25828844],0.267,61.95925521850586
2028,[0.24344894 0.45780364 0.75976105],0.053000000000000005,57.676748275756836
2029,[0.20596546 0.70936299 0.02112666],0.057,51.33782958984375
2030,[0.41893651 0.77593929 0.33882337],0.193,62.15412759780884
2031,[0.56375849 0.20499028 0.74223003],0.021,58.848961353302
2032,[0.05223742 0.85262536 0.19823654],0.051000000000000004,51.411744594573975
2033,[0.87445773 0.35255662 0.72291131],0.20500000000000002,59.74264049530029
2034,[0.31921653 0.90600029 0.12665169],0.211,60.70171141624451
2035,[0.17849367 0.49307305 0.08193701],0.061,59.021066665649414
2036,[0.19595622 0.94385919 0.97680816],0.161,61.395007371902466
2037,[0.3762576  0.92337657 0.5449888 ],0.243,60.782410621643066
2038,[0.2697276  0.70246482 0.65910673],0.079,60.70483207702637
2039,[0.98919916 0.26506498 0.67226913],0.219,51.93527793884277
2040,[0.05198204 0.11364698 0.00388905],0.315,60.604126930236816
2041,[0.9995358  0.80235085 0.78697365],0.399,64.16827440261841
2042,[0.5097408  0.30008866 0.15128765],0.003,56.03154969215393
2043,[0.28466171 0.37600119 0.75654985],0.07300000000000001,60.64396119117737
2044,[0.53968021 0.07748057 0.01800473],0.089,60.79429578781128
2045,[0.10229667 0.41053251 0.93349594],0.149,62.07592749595642
2046,[0.63743295 0.801903   0.46651066],0.313,53.25373983383179
2047,[0.36166255 0.10840073 0.87621556],0.169,53.58999013900757
2048,[0.78320847 0.16812507 0.51241304],0.069,53.112178564071655
2049,[0.48738678 0.6251491  0.94649456],0.147,61.374547243118286
2050,[0.5797948  0.54026542 0.0503102 ],0.159,61.2606463432312
2051,[0.0628671  0.18735589 0.03245165],0.273,61.46830868721008
2052,[0.74339643 0.72339872 0.13607416],0.329,61.894373416900635
2053,[0.83613387 0.15479153 0.30125257],0.091,61.85280895233154
2054,[0.24895947 0.37233667 0.25472411],0.089,59.12580323219299
2055,[0.48896309 0.40744133 0.9868916 ],0.039,59.813703536987305
2056,[0.05588512 0.14218548 0.05281406],0.299,62.52895760536194
2057,[0.62587024 0.05450367 0.83670815],0.065,58.8461480140686
2058,[0.51195363 0.52705431 0.56176463],0.113,51.947888135910034
2059,[0.17078664 0.19770055 0.31890062],0.215,59.6263108253479
2060,[0.59352147 0.21012939 0.1163426 ],0.001,56.2833309173584
2061,[0.97018838 0.02197261 0.80295375],0.151,52.318965673446655
2062,[0.78808419 0.29723537 0.13564439],0.14100000000000001,61.1903121471405
2063,[0.14559847 0.69749717 0.64300576],0.017,59.3401575088501
2064,[0.78279407 0.93757329 0.6921441 ],0.399,64.09412288665771
2065,[0.15582263 0.24345792 0.8424642 ],0.20500000000000002,59.629443407058716
2066,[0.20928376 0.07251871 0.70350085],0.261,60.954272508621216
2067,[0.40252786 0.92013024 0.6504569 ],0.253,60.03440451622009
2068,[0.090382   0.94794983 0.258619  ],0.14300000000000002,60.85666537284851
2069,[0.33720594 0.4022933  0.05121189],0.027000000000000003,58.485514640808105
2070,[0.49652852 0.1233205  0.401083  ],0.091,61.63666009902954
2071,[0.3507049  0.77291398 0.80342703],0.153,60.76909947395325
2072,[0.15338367 0.36658012 0.37345596],0.139,60.98400044441223
2073,[0.15138098 0.79853023 0.70745053],0.069,53.05367374420166
2074,[0.19035713 0.36675086 0.10581214],0.11900000000000001,52.34849715232849
2075,[0.62823593 0.12137372 0.98625605],0.033,59.18267273902893
2076,[0.78073021 0.3902701  0.57874012],0.179,62.87380790710449
2077,[0.91140607 0.55414897 0.17453016],0.327,61.98805904388428
2078,[0.37870192 0.84322654 0.64441268],0.203,61.31124949455261
2079,[0.6507565  0.86690578 0.89426205],0.34900000000000003,64.17367696762085
2080,[0.91985786 0.09484805 0.54428987],0.107,52.74872016906738
2081,[0.74055271 0.75699898 0.60690246],0.339,62.15369486808777
2082,[0.16675977 0.79749717 0.72033815],0.075,52.33935284614563
2083,[0.08609826 0.46384952 0.17400889],0.123,60.77998661994934
2084,[0.33747053 0.01807146 0.40044231],0.221,60.14834117889404
2085,[0.5498966  0.61963953 0.66369691],0.177,61.31788229942322
2086,[0.83634631 0.21547512 0.12049418],0.123,62.40945482254028
2087,[0.85159405 0.15661851 0.97507797],0.095,63.03337025642395
2088,[0.84259399 0.5009204  0.98174169],0.261,62.07470154762268
2089,[0.09734061 0.30308767 0.63842194],0.201,50.91769528388977
2090,[0.3500019  0.92846366 0.06561883],0.23700000000000002,53.64274477958679
2091,[0.54943145 0.59092002 0.65293084],0.163,53.926345109939575
2092,[0.25564962 0.36459514 0.84395153],0.095,62.439451456069946
2093,[0.19491868 0.82694772 0.56282592],0.10500000000000001,60.972498178482056
2094,[0.76223337 0.71367471 0.20755498],0.333,62.619860887527466
2095,[0.56883475 0.86780755 0.43224005],0.311,61.82035493850708
2096,[0.96666183 0.45225351 0.14280597],0.305,61.96521353721619
2097,[0.38943457 0.9517961  0.31980446],0.265,61.72647428512573
2098,[0.86815708 0.88133657 0.35028104],0.399,64.67405581474304
2099,[0.08321979 0.72462646 0.31159298],0.001,56.82961559295654
2100,[0.78297203 0.4426922  0.48540956],0.20700000000000002,52.5256667137146
2101,[0.7779572  0.38239401 0.4432551 ],0.17500000000000002,54.13436722755432
2102,[0.37618873 0.36736953 0.52610395],0.031,52.24309945106506
2103,[0.80885105 0.36179671 0.52441149],0.179,63.645087480545044
2104,[0.6707619  0.26945763 0.27759133],0.067,61.810110330581665
2105,[0.9334801  0.72360301 0.57736237],0.399,65.8369414806366
2106,[0.6477518  0.02929105 0.61829329],0.065,60.42721605300903
2107,[0.50952357 0.54579844 0.35952164],0.123,62.77085256576538
2108,[0.08143581 0.19334899 0.95105401],0.267,63.59461832046509
2109,[0.40870183 0.46672317 0.05269791],0.037000000000000005,52.575254678726196
2110,[0.03752273 0.71724918 0.53825638],0.025,50.92538809776306
2111,[0.50872058 0.2431398  0.74498636],0.029,60.848002433776855
2112,[0.16820919 0.18994413 0.46084621],0.221,60.679250717163086
2113,[0.28626703 0.24747873 0.64543768],0.135,63.35530376434326
2114,[0.65100389 0.82459668 0.41782723],0.331,54.789130449295044
2115,[0.07304597 0.27368504 0.98032522],0.231,53.59396719932556
2116,[0.59628397 0.709804   0.00732973],0.251,53.44370222091675
2117,[0.5182215  0.03752117 0.56940306],0.125,52.33736729621887
2118,[0.92083626 0.96851467 0.54071527],0.399,64.91438055038452
2119,[0.45821318 0.94511004 0.67382001],0.293,64.0766270160675
2120,[0.06485915 0.46576548 0.24030021],0.133,61.31607675552368
2121,[0.46981412 0.45550434 0.58232227],0.057,53.035367488861084
2122,[0.35676635 0.16427699 0.50386886],0.14100000000000001,63.55169606208801
2123,[0.83025713 0.66407408 0.33845815],0.341,64.90841007232666
2124,[0.93559025 0.91229689 0.20939254],0.399,64.91347026824951
2125,[0.03937432 0.74137911 0.82787552],0.015,60.22681164741516
2126,[0.96793579 0.88992324 0.60071881],0.399,65.92711114883423
2127,[0.53006957 0.0278325  0.24671393],0.121,61.83307099342346
2128,[0.4596233  0.62856182 0.5574204 ],0.137,54.39798045158386
2129,[0.74267944 0.27978626 0.56512393],0.10500000000000001,61.054091930389404
2130,[0.08810498 0.41369967 0.75039839],0.153,62.491902112960815
2131,[0.69343823 0.99074074 0.27795978],0.399,65.83648538589478
2132,[0.4982026  0.32955525 0.44072996],0.009000000000000001,59.964242935180664
2133,[0.85700767 0.68427316 0.88272606],0.361,64.007333278656
2134,[0.20348807 0.87344614 0.05975292],0.137,53.047873973846436
2135,[0.88866073 0.32909856 0.31466941],0.203,59.7706253528595
2136,[0.51210359 0.94078266 0.04776772],0.323,65.87200284004211
2137,[0.35222628 0.85665515 0.39616539],0.199,65.7520968914032
2138,[0.19913333 0.42482956 0.38565966],0.089,61.620031118392944
2139,[0.91548095 0.76200706 0.50526548],0.399,66.4781289100647
2140,[0.98844432 0.46531739 0.05822793],0.323,65.15594410896301
2141,[0.26225853 0.4361071  0.15692801],0.049,62.08662796020508
2142,[0.94763384 0.76692213 0.26835242],0.399,65.15032458305359
2143,[0.59082926 0.72151736 0.94158484],0.247,63.43383836746216
2144,[0.88169594 0.51523761 0.77489894],0.28900000000000003,64.22311305999756
2145,[0.56216594 0.55275342 0.11475226],0.155,62.213895082473755
2146,[0.12610508 0.52958058 0.26892697],0.07100000000000001,61.441739320755005
2147,[0.02099137 0.72290756 0.03246749],0.025,51.405301570892334
2148,[0.59530212 0.53924183 0.96913045],0.157,54.46167182922363
2149,[0.48422472 0.06359684 0.55185454],0.129,61.69243860244751
2150,[0.84115176 0.99694797 0.43046635],0.399,65.04852342605591
2151,[0.32029011 0.906742   0.1912798 ],0.211,62.239192724227905
2152,[0.61545668 0.40574769 0.04106633],0.109,61.056822299957275
2153,[0.34728317 0.26524624 0.6863058 ],0.097,63.20716071128845
2154,[0.94885937 0.26806522 0.81172542],0.199,65.49049425125122
2155,[0.05531851 0.53816893 0.07054457],0.101,51.94918990135193
2156,[0.93410004 0.76642446 0.65815449],0.399,65.77559685707092
2157,[0.82394985 0.64757982 0.9692602 ],0.327,61.99187397956848
2158,[0.71399786 0.92474931 0.51728611],0.399,66.17021656036377
2159,[0.11703072 0.52822454 0.12688747],0.075,52.07577872276306
2160,[0.59251841 0.48253482 0.62276733],0.131,53.22163510322571
2161,[0.01000009 0.19485042 0.49147542],0.297,63.91628956794739
2162,[0.95057264 0.38363986 0.42449307],0.261,62.78402328491211
2163,[0.71473609 0.60384794 0.29900233],0.255,62.89979696273804
2164,[0.41081892 0.21771226 0.96633622],0.093,61.965880155563354
2165,[0.13060236 0.3718663  0.02581748],0.14500000000000002,63.90253281593323
2166,[0.22175871 0.78054588 0.20121645],0.099,63.01851797103882
2167,[0.08002515 0.47449405 0.00994207],0.11900000000000001,52.85042762756348
2168,[0.08472848 0.80770361 0.77171853],0.039,61.80741095542908
2169,[0.91520354 0.85459837 0.68338917],0.399,66.01516532897949
2170,[0.05229118 0.78292362 0.84578247],0.011,60.68403887748718
2171,[0.79913255 0.50852367 0.2329544 ],0.249,64.18371438980103
2172,[0.84538609 0.72723165 0.98108121],0.377,63.16840362548828
2173,[0.15566367 0.22567792 0.21184317],0.20700000000000002,52.90848422050476
2174,[0.79258937 0.18691635 0.06665294],0.089,62.435893297195435
2175,[0.99863581 0.02480832 0.83551205],0.179,63.580981731414795
2176,[0.36536377 0.84169697 0.55478812],0.197,64.37067747116089
